Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,5.82945587611615e-12,2.0328790734103208e-20,6.032696114873168e-05,1.864731617070279e-12,2.6758737653737305e-06,2.0224245758997e-06,2.67587376537372e-06
3.469446951953614e-17,1.4310249592090423e-12,-1.6940658945086007e-20,9.793004504787513e-13,4.577575569032072e-13,1.0246985627975825e-12,7.744668824977673e-13,9.409648125341868e-05
1.6653345369377348e-16,5.500236774510411e-12,0.0,7.399001987578011e-06,0.00015634813938487956,3.2819477197318863e-07,2.4804950857896694e-07,3.2819477197321235e-07
2.117582368135751e-21,5.993386315191384e-16,2.895132143935597e-24,6.202341880591444e-09,1.917169829525869e-16,2.751122152703069e-10,2.0792972840972983e-10,2.7511221527030653e-10
-5.048709793414476e-29,4.2215364636155766e-22,-1.2942249226282225e-31,2.8889450910002096e-22,1.3503888982608272e-22,1.9377964104375641e-16,1.4645859361051896e-16,1.9377964104375612e-16
-1.0408340855860843e-17,1.4310249656188384e-12,-1.1858461261560205e-20,9.793004530198502e-13,4.577575585972731e-13,3.48505492575579e-05,7.744668977443603e-13,1.0246985871497797e-12
-8.673617379884035e-19,5.941974336574139e-13,-1.2705494208814505e-21,4.0663009054162097e-13,1.9007241205357692e-13,4.2548054249678263e-13,6.511869838235295e-06,4.2548054217914527e-13
3.970466940254533e-23,3.1356010939779397e-11,-9.693522803355793e-27,2.1458015258339602e-11,1.0030189109160171e-11,2.2452760230465102e-11,1.6969789335534863e-11,2.245276023046509e-11
4.235164736271502e-21,2.645714882892034e-16,-1.6543612251060553e-24,3.5590558464291414e-10,7.520632654110386e-09,1.57867712959087e-11,1.1931636931493327e-11,1.578677129590963e-11
2.3665827156630354e-30,1.9336906643306073e-18,-7.703719777548943e-34,1.3232921706719808e-18,6.18550716770161e-19,1.3846369976553324e-18,1.046508220602495e-18,1.384636997655332e-18
