Intercept,input1,input2,input3,input4,input5,input6,input7
-3.3881317890172014e-20,2.0674034150869457e-14,1.6543612251060553e-24,4.0780978745835194e-08,7.535691440235792e-15,2.476738454319623e-08,2.1890932629602533e-08,2.4767384543196223e-08
-8.673617379884035e-19,3.805891424718651e-14,1.0587911840678754e-21,3.536911432136525e-14,1.3872487088865429e-14,3.2093852743064115e-14,2.8366514222462075e-14,3.82672053056158e-06
-2.371692252312041e-20,8.009455872881459e-15,-3.1019272970738538e-24,2.2306636361575913e-09,4.528662802536982e-08,1.3547439023822397e-09,1.1974057028787306e-09,1.3547439023822264e-09
-6.776263578034403e-21,3.2726980121865375e-15,1.4475660719677984e-24,6.45562579207655e-09,1.192899374845707e-15,3.920675064123237e-09,3.465332947917655e-09,3.920675064123231e-09
-4.0389678347315804e-27,2.214734787817476e-21,1.7749370367472766e-30,2.058209340988957e-21,8.072714696422022e-22,2.653240665667835e-15,2.3450967364340438e-15,2.653240665667835e-15
-6.505213034913027e-19,3.8058913910779854e-14,5.293955920339377e-22,3.536911675658497e-14,1.387248499775284e-14,1.417303920415233e-06,2.8366514910676345e-14,3.20938535371575e-14
0.0,1.8480654807177116e-14,7.940933880509066e-23,1.7174542383931024e-14,6.736204063865504e-15,1.5584139557880956e-14,3.096966289887833e-07,1.5584139491706507e-14
-3.970466940254533e-23,3.135598986894501e-11,1.5751974555453164e-26,2.913991850290287e-11,1.1429267344395531e-11,2.6441493768046227e-11,2.3370612980665468e-11,2.6441493768046224e-11
-2.541098841762901e-21,1.3592537428021681e-15,1.137373342260413e-24,3.7855728787522096e-10,7.685418278404536e-09,2.299083416873688e-10,2.0320708511163134e-10,2.2990834168736882e-10
-2.6963019221421302e-33,1.1821298277766722e-21,1.2695338988880705e-36,1.0985833005189005e-21,4.308866629283163e-22,9.968519126591393e-22,8.810788245990352e-22,9.96851912659139e-22
