Intercept,input1,input2,input3,input4,input5,input6,input7
-4.0657581468206416e-20,9.193031138853808e-09,-5.624828165360588e-23,4.5897195405373276e-08,7.692799076344139e-15,4.355250570529633e-08,4.134909888328034e-08,4.35525057052963e-08
-4.0657581468206416e-20,3.3275852092469853e-09,1.819797347616661e-23,5.199458204229371e-14,2.784548892191817e-15,8.597091161646352e-13,8.162147430547437e-13,1.5519042951155657e-07
-1.6940658945086007e-21,8.814521549734868e-10,-6.927637630131607e-24,4.283480175672361e-09,7.695270102738582e-09,4.064661373595973e-09,3.859022169726299e-09,4.064661373595969e-09
-1.6263032587282567e-19,1.4612379489017093e-08,-2.3161057151484775e-23,7.295387414825023e-08,1.22277513828038e-14,6.922697546118825e-08,6.572464677702796e-08,6.922697546118823e-08
-1.0501316370302109e-26,8.750404873624712e-16,0.0,1.3672787181364856e-20,7.32240602040011e-22,4.145553870382189e-15,3.935822156187752e-15,4.145553870382185e-15
-6.098637220230962e-20,3.32758520924694e-09,-2.812414082680294e-23,5.1994582051806285e-14,2.784548888469504e-15,5.747847815446451e-08,8.162147430638427e-13,8.597091161512969e-13
-3.3881317890172014e-21,1.7356371510219018e-09,0.0,2.7119884996708245e-14,1.4523944908461881e-15,4.4841618988670166e-13,1.349132908590341e-08,4.484161898860813e-13
-6.617444900424222e-24,2.4138543461048756e-11,5.6498218031928866e-27,3.771724534804087e-16,2.0199318469042887e-17,6.236392025734087e-15,5.920880701830576e-15,6.236392025730057e-15
-1.0164395367051604e-20,1.3793055577143884e-09,-9.926167350636332e-24,6.702834611416879e-09,1.2041639198374809e-08,6.360424659687341e-09,6.038638281174345e-09,6.360424659687334e-09
-1.809457589959748e-25,3.4937506094890816e-13,4.270942244673134e-29,5.459096947451216e-18,2.9235973293369004e-19,9.026393193975572e-17,8.569730230046922e-17,9.026393193974692e-17
