Intercept,input1,input2,input3,input4,input5,input6,input7
-1.3552527156068805e-20,3.1638981901803174e-14,-1.6543612251060553e-23,3.657891685289388e-08,1.2417637450067362e-14,2.2849610289182955e-08,2.0301805142714476e-08,2.2849610289182922e-08
1.5178830414797062e-18,5.523889617578048e-14,8.470329472543003e-22,5.18054622375129e-14,2.168010972282392e-14,4.707322870988118e-14,4.182441233997129e-14,3.654815432036277e-06
-1.0164395367051604e-20,1.2987033730651843e-14,1.5716431638507526e-23,1.9135660793531886e-09,4.3311679062376086e-08,1.1953429280119956e-09,1.0620583413060925e-09,1.1953429280119563e-09
-1.6940658945086007e-21,5.008448396234617e-15,8.271806125530277e-25,5.790439718317977e-09,1.965711050933239e-15,3.617091547534562e-09,3.2137741892328843e-09,3.617091547534558e-09
-3.2311742677852644e-27,3.778730466639597e-21,2.3665827156630354e-30,3.543859185994301e-21,1.4830725310164483e-21,2.728991685482346e-15,2.4247003223936265e-15,2.7289916854823457e-15
-9.75781955236954e-19,5.5238898217078526e-14,0.0,5.180546202575466e-14,2.1680110053696166e-14,1.3536353748373222e-06,4.18244131671519e-14,4.7073229821611924e-14
2.710505431213761e-20,2.6963589814166762e-14,-3.970466940254533e-23,2.5287637496025288e-14,1.058264406171608e-14,2.297770776775612e-14,2.9733561391921303e-07,2.2977707824004403e-14
-2.6469779601696886e-23,3.135597042351934e-11,4.2005265481208437e-26,2.940700446471894e-11,1.2306561361641754e-11,2.6720786319831045e-11,2.374133257678064e-11,2.672078631983102e-11
-3.3881317890172014e-21,2.2039792040470554e-15,4.1359030627651384e-24,3.247438894094153e-10,7.350257337505937e-09,2.0285701957669686e-10,1.8023780848583297e-10,2.028570195766889e-10
-1.5407439555097887e-33,1.8961639758490873e-21,0.0,1.7783057500848006e-21,7.442046285073117e-22,1.6158642753413473e-21,1.4356902038974175e-21,1.6158642753413467e-21
