Intercept,input1,input2,input3,input4,input5,input6,input7
-5.082197683525802e-21,4.49105304791407e-12,-3.5155176033503676e-24,5.3526814003925975e-09,6.128956049743954e-13,3.4038222045873417e-09,3.034331280950766e-09,3.40382220458735e-09
-2.439454888092385e-19,5.375989234465307e-12,-7.940933880509066e-23,4.406701714153325e-12,7.298873529670144e-13,4.190146887626869e-12,3.735299028322081e-12,3.546335346732205e-07
8.470329472543003e-22,1.0688567167417697e-12,1.137373342260413e-24,4.5844499488805986e-10,2.6658091085898166e-09,2.9170639360000135e-10,2.600411483775274e-10,2.917063936000028e-10
-1.6940658945086007e-21,4.412189402903605e-12,-6.203854594147708e-25,5.258687416954861e-09,6.021330553218265e-13,3.344050515598058e-09,2.9810479145719287e-09,3.3440505155980625e-09
0.0,8.535085859559052e-19,-1.232595164407831e-32,6.996215179385291e-19,1.1587916108934938e-19,6.493796818281678e-16,5.788883682377724e-16,6.493796818281685e-16
1.3552527156068805e-20,5.375989234457808e-12,1.819797347616661e-23,4.4067017139643144e-12,7.298873529161428e-13,1.3134839182330706e-07,3.735299028273071e-12,4.190146887686426e-12
-6.776263578034403e-21,2.6328818262545844e-12,9.098986738083304e-24,2.1581748680146046e-12,3.5746112257802144e-13,2.0521175003904613e-12,2.8948351740238565e-08,2.0521175004003357e-12
-2.6469779601696886e-23,3.133459094802579e-11,-5.6545549686242126e-27,2.5684983658933617e-11,4.254235015193143e-12,2.4422768166371334e-11,2.177163346392039e-11,2.442276816637136e-11
8.470329472543003e-22,1.0445625853114461e-12,7.237830359838992e-25,4.480249612343356e-10,2.605217716087665e-09,2.850761752047488e-10,2.5413065192176724e-10,2.850761752047492e-10
1.9721522630525295e-31,2.763714350817701e-19,1.2037062152420224e-35,2.2654183696368077e-19,3.752239939159377e-20,2.1540908250582009e-19,1.9202604541665683e-19,2.1540908250582025e-19
