Intercept,input1,input2,input3,input4,input5,input6,input7
3.3881317890172014e-21,5.8408287675549605e-12,-4.549493369041652e-24,5.4346144795821665e-09,8.544680349811803e-13,3.276895558278993e-09,2.8921553471498787e-09,3.276895558278993e-09
1.3552527156068805e-19,7.122192730652459e-12,2.6469779601696886e-23,5.931266735497251e-12,1.0370889253400708e-12,5.58437837620844e-12,4.9287166753270135e-12,3.8742363478350183e-07
1.6940658945086007e-21,1.4428976589899573e-12,-1.0339757656912846e-24,4.595160572746439e-10,2.852239831310969e-09,2.7734102761865727e-10,2.447784257221231e-10,2.773410276186575e-10
3.3881317890172014e-21,5.292143670791103e-12,-3.308722450212111e-24,4.924088989062449e-09,7.74199652681526e-13,2.969065312259247e-09,2.6204674412624984e-09,2.9690653122592453e-09
1.3126645462877636e-27,1.0938815930285059e-18,-3.944304526105059e-31,9.109699429040196e-19,1.5928415993424897e-19,6.158667407641578e-16,5.435578448427247e-16,6.158667407641582e-16
1.8973538018496328e-19,7.1221927307120266e-12,-1.5881867761018131e-22,5.9312667356209144e-12,1.0370889254252704e-12,1.4349375119508934e-07,4.928716675206245e-12,5.58437837609098e-12
-1.6940658945086007e-20,3.453421495249108e-12,3.308722450212111e-24,2.8759631777449027e-12,5.028655252112902e-13,2.7077633322373684e-12,3.131104888396937e-08,2.707763332238609e-12
3.970466940254533e-23,3.132158219425128e-11,-9.693522803355793e-27,2.6084194235421845e-11,4.56085186864341e-12,2.4558667944209053e-11,2.1675235463111838e-11,2.4558667944209062e-11
2.541098841762901e-21,1.3032749891436073e-12,-8.271806125530277e-25,4.150507701115181e-10,2.576241504050024e-09,2.5050399278614174e-10,2.2109232636005597e-10,2.5050399278614025e-10
5.9164567891575885e-31,4.629723142110301e-19,-4.333342374871281e-34,3.855571437805502e-19,6.741511751558611e-20,3.630079496481356e-19,3.2038719695544896e-19,3.6300794964813563e-19
