Intercept,input1,input2,input3,input4,input5,input6,input7
-2.541098841762901e-21,5.0487296212752033e-14,-4.1359030627651384e-25,3.1819400789511236e-09,2.1454169558160162e-14,2.608499170653257e-09,2.4630027958162937e-09,2.6084991706532585e-09
-8.131516293641283e-20,3.871323271512532e-14,4.963083675318166e-24,3.66412707190508e-14,1.6450876246765652e-14,3.489118982539892e-14,3.2945035604269793e-14,1.72036756063203e-07
5.082197683525802e-21,2.359768946905706e-14,-8.271806125530277e-25,1.717276332960279e-10,4.400147971092627e-09,1.4078194572438407e-10,1.329294369040445e-10,1.4078194572438345e-10
-5.082197683525802e-21,8.115018341267866e-14,8.271806125530277e-25,5.1144553261536385e-09,3.448411631082474e-14,4.1927415807944935e-09,3.958879631556833e-09,4.192741580794498e-09
-1.6155871338926322e-27,6.931871435056878e-20,0.0,6.56087234797989e-20,2.9456428903419583e-20,3.581451621736973e-15,3.381686088560211e-15,3.581451621736977e-15
1.3552527156068805e-20,3.8713232693327936e-14,6.617444900424222e-24,3.664127071594887e-14,1.6450876185554286e-14,6.371733902897238e-08,3.2945035589690735e-14,3.489118979975632e-14
-1.6940658945086007e-21,2.0082163047865246e-14,-6.617444900424222e-24,1.9007350249873998e-14,8.533753304680563e-15,1.8099510529914088e-14,1.4873783525460214e-08,1.8099510533629938e-14
-1.3234889800848443e-23,3.1355180180562967e-11,-1.2924697071141057e-26,2.9677026837923934e-11,1.3324131071502021e-11,2.825957603901157e-11,2.6683318735822134e-11,2.825957603901161e-11
7.623296525288703e-21,3.733276203954701e-14,-8.271806125530277e-25,2.716819745384464e-10,6.961261074314444e-09,2.227243004498431e-10,2.1030122642009314e-10,2.227243004498428e-10
-1.5407439555097887e-33,1.6554904332975872e-21,-8.46355932592047e-37,1.5668873129089722e-21,7.034873151374347e-22,1.4920487623486987e-21,1.4088255478489422e-21,1.4920487623487011e-21
