Intercept,input1,input2,input3,input4,input5,input6,input7
1.3552527156068805e-20,5.299229328388562e-12,-5.790264287871194e-24,3.268395679781129e-08,8.179367970269851e-13,2.0891467809448214e-08,1.8643627265449685e-08,2.089146780944824e-08
2.168404344971009e-19,9.028667394913707e-12,-2.6469779601696886e-22,7.602423137513724e-12,1.3872119124303185e-12,7.169239026489496e-12,6.397856840256375e-12,3.51131558625729e-06
-5.082197683525802e-21,1.2429462018205204e-12,2.68833699079734e-24,2.5312660226323933e-09,1.6548512269226155e-08,1.6181891680145914e-09,1.4440783179345712e-09,1.6181891680145903e-09
2.541098841762901e-21,7.59047763765765e-13,6.203854594147708e-25,4.681564578733778e-09,1.171591297940894e-13,2.9924392661362037e-09,2.6704644595200743e-09,2.992439266136202e-09
-2.0194839173657902e-28,1.6489724569506943e-19,-1.9721522630525295e-31,1.3884868953284872e-19,2.533567950785178e-20,6.523782225175145e-16,5.821848674133141e-16,6.523782225175142e-16
3.2526065174565133e-19,9.028667394246177e-12,1.5881867761018131e-22,7.602423137010799e-12,1.3872119118893424e-12,1.300491768134681e-06,6.397856839832859e-12,7.1692390280843e-12
-1.0842021724855044e-19,4.426515213903184e-12,-2.6469779601696886e-23,3.727265631656688e-12,6.801130626295133e-13,3.5148869975517066e-12,2.8691997335106645e-07,3.5148869974789147e-12
1.3234889800848443e-23,3.13755510843573e-11,3.8370194429950014e-27,2.6419205081726848e-11,4.8207045745868415e-12,2.4913845591984408e-11,2.223321286960318e-11,2.4913845591984414e-11
-8.470329472543003e-22,1.9177572542006283e-13,4.652890945610781e-25,3.9055220331430353e-10,2.5532906737312362e-09,2.4967243241000844e-10,2.228086513962046e-10,2.496724324100078e-10
-1.9721522630525295e-31,7.00157801113733e-19,-2.3472271197219437e-34,5.895549846267678e-19,1.0757592450525637e-19,5.559622937003211e-19,4.961429169043639e-19,5.559622937003206e-19
