Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-21,1.051419647355968e-11,-3.308722450212111e-24,5.414251013932246e-09,9.708155267252659e-12,4.6877297808479145e-09,4.490072041787024e-09,4.687729780847912e-09
1.0842021724855044e-19,6.15455647373497e-12,2.117582368135751e-22,6.136561739224704e-12,5.682734767006598e-12,5.886975758625677e-12,5.638751911482055e-12,1.7360054284038371e-06
1.6263032587282567e-19,1.2005206824447643e-11,0.0,1.1970105917918876e-11,-8.953300900989966e-07,1.148325827236721e-11,1.0999067636172019e-11,1.1483258272512794e-11
1.3234889800848443e-23,8.006675487422609e-14,0.0,4.123011300484108e-11,7.392866302419209e-14,3.569757443885979e-11,3.419238916082387e-11,3.569757443885976e-11
2.6469779601696886e-23,8.004674244104897e-14,-1.9387045606711586e-26,7.981270122292371e-14,7.391018478775246e-14,3.568865194257729e-11,3.4183842880860246e-11,3.568865194257726e-11
-2.710505431213761e-20,6.1545564740532065e-12,0.0,6.136561739291706e-12,5.682734767357322e-12,2.504341853179766e-07,5.638751911349706e-12,5.886975757910993e-12
6.776263578034403e-20,3.238652488596204e-12,-5.293955920339377e-23,3.229183294086591e-12,2.990370333541558e-12,3.0978460867663655e-12,1.0347756400416072e-07,3.097846086723352e-12
3.308722450212111e-24,5.120134125474086e-12,-3.2311742677852644e-27,5.105163841973323e-12,4.72761348946415e-12,4.897526832591884e-12,4.6910230181708555e-12,4.897526832591885e-12
-4.235164736271502e-22,7.207084563692768e-14,4.1359030627651384e-25,7.186012440114681e-14,-5.374934198238079e-09,6.893743243739014e-14,6.603069129373571e-14,6.893743243832072e-14
6.310887241768095e-30,2.872868668162993e-18,-7.703719777548943e-34,2.864468954919369e-18,2.652628297663726e-18,2.747965393882723e-18,2.6320976599976517e-18,2.7479653938827232e-18
