Intercept,input1,input2,input3,input4,input5,input6,input7
-1.6543612251060553e-24,1.330788703808678e-13,6.462348535570529e-27,1.86641441935872e-11,9.348077541236581e-14,2.740587473331686e-12,2.1244945715604745e-12,2.740587473331677e-12
7.411538288475128e-22,2.632447050600985e-14,2.0679515313825692e-25,2.6321242208262105e-14,1.84915299345697e-14,1.9930930070315066e-14,1.545039271807151e-14,1.1263836603636985e-09
1.164670302474663e-21,9.427007956414296e-14,-3.360421238496675e-25,9.425851876691863e-14,-1.8683585770787916e-09,7.137428891870197e-14,5.5329118603401244e-14,7.137428891790064e-14
-3.308722450212111e-24,2.167014958200438e-13,1.2924697071141057e-26,3.039211223672115e-11,1.5222118886568197e-13,4.462687451411076e-12,3.4594609211900445e-12,4.4626874514110655e-12
1.6543612251060553e-24,2.1672755492322532e-13,1.6155871338926322e-27,2.1670097657172494e-13,1.522394939892909e-13,4.463224104987631e-12,3.4598769333119965e-12,4.46322410498763e-12
0.0,2.632447050647621e-14,5.169878828456423e-26,2.6321242208896223e-14,1.8491529934296666e-14,1.6250462366473428e-10,1.5450392717948727e-14,1.9930930070470162e-14
-1.6543612251060553e-23,1.1211105800649886e-14,-3.2311742677852644e-27,1.1209730928400373e-14,7.87520107792238e-15,8.488215011636465e-15,5.434212299873566e-11,8.48821501163808e-15
9.926167350636332e-24,9.13244136254684e-12,1.6155871338926322e-27,9.131321406957051e-12,6.4150506953926636e-12,6.914404987756249e-12,5.360024449137893e-12,6.914404987756252e-12
4.235164736271502e-22,1.511967394944815e-13,-1.2924697071141057e-25,1.5117819750583956e-13,-2.9966000492017643e-09,1.1447491948641877e-13,8.874058843131027e-14,1.1447491948709086e-13
0.0,4.441789608805303e-21,2.256949153578792e-36,4.4412448905964935e-21,3.1201191869254935e-21,3.362992545634288e-21,2.606980976495805e-21,3.3629925456342873e-21
