Intercept,input1,input2,input3,input4,input5,input6,input7
-2.168404344971009e-19,3.242483562070864e-07,1.2705494208814505e-21,1.848172658459225e-06,6.872298672175257e-12,4.4494984733975037e-07,2.3307382383553655e-07,4.4494984733974973e-07
1.0408340855860843e-17,8.927206835630102e-07,-3.3881317890172014e-21,1.3540300033457832e-11,1.892081502465348e-11,1.3034103166723466e-10,6.827529626715335e-11,3.584915993675516e-05
-5.551115123125783e-17,5.72054198130466e-07,-4.87890977618477e-19,8.676605749391398e-12,-0.0008072730953916626,8.352235565087284e-11,4.375071750264731e-11,8.35223555831102e-11
-1.3234889800848443e-23,1.3224946926421963e-11,3.2311742677852644e-26,7.538044480748944e-11,2.8029682637359855e-16,1.8147935073044924e-11,9.506259295250137e-12,1.8147935073044908e-11
-2.168404344971009e-19,5.55474522658833e-07,-2.6469779601696886e-22,8.42513435304641e-12,1.1773033699110657e-11,7.622499831589476e-07,3.992821198964777e-07,7.622499831589468e-07
-1.3010426069826053e-18,8.927206835629983e-07,1.2705494208814505e-21,1.3540300036951843e-11,1.8920815018406613e-11,5.171566890773878e-06,6.82752962735061e-11,1.303410316706228e-10
6.505213034913027e-19,2.569063775493747e-07,-2.117582368135751e-22,3.896615701537123e-12,5.4450155979978574e-12,3.75094280986397e-11,1.1685856318698188e-06,3.750942809834853e-11
0.0,3.6333595895591784e-12,3.9196526228169024e-29,5.5108814980739315e-17,7.700742904858e-17,5.304860143246482e-16,2.778794162735945e-16,5.304860143260808e-16
-4.235164736271502e-21,7.910385594596675e-12,-3.7223127564886245e-24,1.199804078828732e-16,-1.1163000788322455e-08,1.1549500784879291e-15,6.049864638681008e-16,1.15495007290446e-15
2.0679515313825692e-25,3.6063319985610426e-12,5.669937756276022e-29,5.46988752333212e-17,7.643459136183188e-17,5.26539870632487e-16,2.75812345557444e-16,5.265398706336045e-16
