Intercept,input1,input2,input3,input4,input5,input6,input7
1.3234889800848443e-23,3.059717066137964e-16,1.9387045606711586e-26,4.156797957378493e-11,2.703011777784993e-16,2.6525057962060668e-11,2.3655326807566382e-11,2.652505796206067e-11
-3.3881317890172014e-21,1.1144470898039043e-15,-1.9852334701272664e-23,1.1144041711587059e-15,9.845235850611634e-16,9.98039790716535e-16,8.900624141214918e-16,4.78411225267529e-08
4.235164736271502e-22,2.6581759104931816e-16,1.2407709188295415e-24,2.65807355204337e-16,-5.2731584400676895e-09,2.380521591612117e-16,2.122974290416456e-16,2.380521582306335e-16
-2.6469779601696886e-23,4.862966374530152e-16,2.5849394142282115e-26,6.606613701424926e-11,4.2960362348325305e-16,4.2157644696726394e-11,3.759663274495837e-11,4.215764469672642e-11
3.970466940254533e-23,4.863142657055154e-16,-7.270142102516845e-27,4.862955344961751e-16,4.296191966415953e-16,4.2159172911670146e-11,3.7597995623183886e-11,4.215917291167016e-11
8.470329472543003e-22,1.114447088560942e-15,8.271806125530277e-25,1.1144041639208755e-15,9.845235813388506e-16,6.9013684058694015e-09,8.900624256503216e-16,9.980397912335228e-16
6.352747104407253e-22,5.460204564837751e-16,-2.3264454728053903e-25,5.45999425941649e-16,4.823647720391267e-16,4.889870036657347e-16,2.6550177629013337e-09,4.889870040664003e-16
-4.963083675318166e-24,5.122663043495887e-12,1.6155871338926322e-27,5.122465735500324e-12,4.525457171696108e-12,4.58758573335331e-12,4.09125740405247e-12,4.587585733353314e-12
-8.470329472543003e-22,4.159069437059128e-16,-1.6543612251060553e-24,4.158909255162341e-16,-8.25055705092911e-09,3.7246423183643877e-16,3.3216753681008127e-16,3.724642312160533e-16
1.2037062152420224e-35,9.316363604517492e-24,-1.4693679385278594e-39,9.3160047690811e-24,8.230251361491133e-24,8.34324186383523e-24,7.44059120269907e-24,8.343241863835232e-24
