Intercept,input1,input2,input3,input4,input5,input6,input7
1.9852334701272664e-23,3.577456032385739e-14,1.0501316370302109e-26,2.5250829718603907e-11,3.329213882021557e-14,2.3328511763487555e-11,2.2776483612209496e-11,2.3328511763487516e-11
8.470329472543003e-22,2.1970655187737762e-14,2.481541837659083e-24,2.197014185170737e-14,2.0446096212817532e-14,2.1426069116264703e-14,2.0919058922334536e-14,9.557946946964941e-09
6.352747104407253e-22,3.2938455160036834e-14,2.274746684520826e-24,3.293768557307664e-14,-3.3651479226459414e-09,3.2122010518192e-14,3.136189970127134e-14,3.212201051643424e-14
5.293955920339377e-23,5.2962073063002106e-14,2.261821987449685e-26,3.738232633333361e-11,4.928699815335964e-14,3.453645085457096e-11,3.371920656096822e-11,3.453645085457094e-11
-5.293955920339377e-23,5.296300664955008e-14,2.0194839173657902e-26,5.2961769205017944e-14,4.928786695774979e-14,3.453705964431058e-11,3.3719800944770665e-11,3.4537059644310566e-11
-3.1763735522036263e-22,2.197065518452428e-14,-4.1359030627651384e-25,2.1970141856030682e-14,2.044609621333452e-14,1.3788092464337412e-09,2.0919058923051856e-14,2.142606911978022e-14
4.235164736271502e-22,1.1784726258584552e-14,1.2278462217584005e-25,1.1784450916121431e-14,1.09669759462641e-14,1.1492618551519548e-14,5.807177114434228e-10,1.1492618551422613e-14
3.308722450212111e-24,4.885512288134403e-12,3.6350710512584224e-27,4.885398141470723e-12,4.5465032087637685e-12,4.7644152206258036e-12,4.6516737241759704e-12,4.764415220625801e-12
4.235164736271502e-22,4.806693125029466e-14,4.1359030627651384e-24,4.8065808194210097e-14,-4.910744388535742e-09,4.687549745923571e-14,4.576627135245216e-14,4.6875497456960965e-14
3.0814879110195774e-33,1.272322627984466e-21,7.993361585591555e-37,1.2722929010337294e-21,1.1840352801411254e-21,1.2407855997084431e-21,1.211424593413496e-21,1.2407855997084412e-21
