Intercept,input1,input2,input3,input4,input5,input6,input7
-4.235164736271502e-22,3.9505708280634075e-12,9.66121106067794e-25,1.8322480818335266e-09,3.615673757693518e-12,1.6850518141699e-09,1.6428428152547294e-09,1.6850518141698994e-09
2.168404344971009e-19,4.36828485276092e-12,2.6469779601696886e-22,4.363963588662325e-12,3.997977404718433e-12,4.251049547220549e-12,4.1445646637915255e-12,1.0132111335037959e-06
-4.0657581468206416e-20,3.223477772717658e-12,2.6469779601696886e-23,3.22028899309389e-12,-2.1747761789903817e-07,3.1369666104152655e-12,3.0583884804996668e-12,3.1369666104979836e-12
-2.6469779601696886e-23,1.0002038339976988e-13,3.175638460057705e-26,4.638877863590168e-11,9.15414736837565e-14,4.2662069821533105e-11,4.1593424190773616e-11,4.2662069821533066e-11
2.6469779601696886e-23,9.994551748375055e-14,4.8467614016778965e-27,9.984664780004925e-14,9.147295428753389e-14,4.2630136981170746e-11,4.1562291238707213e-11,4.2630136981170766e-11
8.131516293641283e-20,4.36828485234803e-12,3.970466940254533e-23,4.36396358863751e-12,3.997977404877252e-12,1.4616539302364724e-07,4.144564664023136e-12,4.251049547349589e-12
-5.082197683525802e-20,2.3397559099014555e-12,1.9852334701272664e-23,2.337441339566874e-12,2.1414105482495503e-12,2.276961928436167e-12,6.147378649202941e-08,2.2769619284378215e-12
-4.963083675318166e-24,5.120434965435876e-12,1.2116903504194741e-27,5.115369647869988e-12,4.686366385584147e-12,4.983013580288173e-12,4.858193670872946e-12,4.983013580288171e-12
-2.541098841762901e-21,8.874505967865763e-14,1.2407709188295415e-24,8.86572698886032e-14,-5.987342100711828e-09,8.636333447368335e-14,8.420001233384049e-14,8.636333447637168e-14
-4.930380657631324e-32,1.1738433894929306e-19,-3.009265538105056e-35,1.1726821815915445e-19,1.0743345515748677e-19,1.1423399751112454e-19,1.1137254088618538e-19,1.1423399751112456e-19
