Intercept,input1,input2,input3,input4,input5,input6,input7
3.705769144237564e-22,2.536721737340962e-11,-1.809457589959748e-25,1.717194307715634e-10,1.717311530207297e-11,1.6354661444099588e-10,1.6092656000373282e-10,1.6354661444099598e-10
2.541098841762901e-21,9.660043907428014e-12,1.2407709188295415e-24,9.65873387580819e-12,6.539662801931011e-12,9.482629060969869e-12,9.330715159039109e-12,6.430024447507454e-09
-6.776263578034403e-21,1.50694682874631e-11,-4.1359030627651384e-24,1.5067424665287193e-11,-1.4225490360067407e-08,1.479270480396777e-11,1.4555722265428453e-11,1.4792704803970046e-11
2.117582368135751e-22,4.139891869064755e-11,-5.169878828456423e-26,2.8024353824349697e-10,2.802626687785085e-11,2.6690562444072314e-10,2.626297348539124e-10,2.6690562444072335e-10
4.235164736271502e-22,4.140449124753193e-11,-1.2924697071141057e-25,4.139887624273869e-11,2.80300393910316e-11,2.6694155162969396e-10,2.626650864810397e-10,2.6694155162969407e-10
1.164670302474663e-21,9.660043907431783e-12,-2.0679515313825692e-25,9.658733875808397e-12,6.5396628019316315e-12,9.35684119129291e-10,9.33071515903443e-12,9.482629060970076e-12
-1.3234889800848443e-22,5.222063146646131e-12,-2.5849394142282115e-26,5.221354964786672e-12,3.535235702519522e-12,5.12615555655123e-12,3.9818766510812966e-10,5.126155556551747e-12
4.963083675318166e-24,4.8678966347088935e-12,-8.077935669463161e-28,4.867236482582571e-12,3.295471827117194e-12,4.778493611046553e-12,4.701941042643667e-12,4.7784936110465575e-12
0.0,2.4199406682188476e-11,-1.1580528575742387e-23,2.4196124917808423e-11,-2.2844099069058515e-08,2.3754964186672322e-11,2.3374404188313898e-11,2.37549641866777e-11
1.5777218104420236e-30,7.062488829011333e-19,0.0,7.0615310607250565e-19,4.781168276948954e-19,6.932780270412726e-19,6.821715533474267e-19,6.932780270412723e-19
