Intercept,input1,input2,input3,input4,input5,input6,input7
3.8116482626443515e-21,2.0647711463918812e-16,-8.013312184107456e-25,3.092605796432019e-09,1.9192550933658609e-16,1.5348522263809104e-09,1.3123165022649444e-09,1.5348522263809127e-09
0.0,9.233784351037813e-16,0.0,9.218374973207614e-16,8.583045205625317e-16,7.898125894146017e-16,6.752988965528427e-16,6.687291291876872e-06
-2.710505431213761e-19,1.857151232308278e-16,-1.3234889800848443e-22,1.8540434852441933e-16,-3.9955872908853443e-07,1.5885123213036895e-16,1.3581961633703954e-16,1.588512155867567e-16
1.9852334701272664e-23,2.5231503389309355e-18,-2.0194839173657902e-26,3.779164262971549e-11,2.3453297255826856e-18,1.8755894105783265e-11,1.6036507571670754e-11,1.8755894105783304e-11
2.6469779601696886e-23,2.5193877571100862e-18,-8.077935669463161e-27,2.515172043225447e-18,2.341832280037989e-18,1.8727924723830085e-11,1.6012593424846453e-11,1.8727924723830088e-11
9.75781955236954e-19,9.233802943009302e-16,-1.3234889800848443e-22,9.218354227517851e-16,8.583045205625317e-16,9.646816948690788e-07,6.752987451787906e-16,7.898124305959241e-16
0.0,4.337401243553032e-16,-4.963083675318166e-23,4.33014278880131e-16,4.0317205248819216e-16,3.7099907225322743e-16,3.558079599524868e-07,3.7099925299219127e-16
1.1580528575742387e-23,5.122673364085567e-12,-1.2116903504194741e-27,5.114101540409918e-12,4.761649644245446e-12,4.381673133236422e-12,3.746381483144862e-12,4.38167313323643e-12
-1.2705494208814505e-21,2.306892096953229e-18,-4.1359030627651384e-25,2.3030308330973698e-18,-4.963186298836664e-09,1.9731975527749194e-18,1.6871044717203251e-18,1.9731971650340073e-18
8.425943506694157e-35,3.5817540391767164e-23,-1.2305956485170822e-38,3.575760652151771e-23,3.329327605775418e-23,3.0636494517395744e-23,2.6194559082426087e-23,3.063649451739577e-23
