Intercept,input1,input2,input3,input4,input5,input6,input7
-1.4823076576950256e-21,5.7051029728023247e-11,1.550963648536927e-25,4.243978106842645e-10,2.7620305933757424e-11,3.9499724413686424e-10,3.856028696524648e-10,3.949972441368639e-10
-7.623296525288703e-21,2.4024353758418953e-11,8.271806125530277e-25,2.401617581526436e-11,1.1630990778459628e-11,2.34192938035954e-11,2.2862303547544972e-11,9.631058882968298e-09
-6.776263578034403e-21,2.1121317920780214e-11,1.1580528575742387e-23,2.1114128177465652e-11,-2.5494530098596164e-08,2.0589371721708734e-11,2.0099686613190074e-11,2.0589371721711216e-11
-1.6940658945086007e-21,8.281608111449542e-11,3.101927297073854e-25,6.160618604431291e-10,4.009402647983491e-11,5.733835824942627e-10,5.597465757122837e-10,5.73383582494262e-10
-1.9058241313221758e-21,8.284372302364754e-11,0.0,8.281552283712934e-11,4.010740884981148e-11,5.735749634034187e-10,5.599334049341647e-10,5.735749634034184e-10
-1.164670302474663e-21,2.4024353758415696e-11,-3.101927297073854e-25,2.401617581526892e-11,1.1630990778459499e-11,1.4093786653254243e-09,2.2862303547541483e-11,2.341929380359253e-11
-6.352747104407253e-22,1.2884713170219144e-11,2.0679515313825692e-25,1.2880327185362386e-11,6.237919303590862e-12,1.2560208126417138e-11,5.959165926935875e-10,1.2560208126417157e-11
-1.819797347616661e-23,4.955580519166279e-12,0.0,4.953893628598823e-12,2.399161779747988e-12,4.8307728612704486e-12,4.715880694346567e-12,4.830772861270444e-12
1.3552527156068805e-20,3.0233325983512794e-11,1.3234889800848443e-23,3.022303449249936e-11,-3.6493198111897696e-08,2.9471891356068156e-11,2.8770949796909363e-11,2.947189135606733e-11
-4.733165431326071e-30,1.4709430183937877e-18,-7.703719777548943e-34,1.4704423061374941e-18,7.121325657546235e-19,1.4338969140445759e-18,1.3997939809671713e-18,1.4338969140445749e-18
