Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,3.124503848247819e-08,1.9852334701272664e-23,8.029399848650645e-08,9.415826439675831e-11,6.692866379805276e-08,6.089842212670774e-08,6.85967997499715e-08
3.049318610115481e-20,1.4913079046065281e-09,-2.9778502051908996e-23,1.421508861104123e-09,4.494120372333435e-12,1.2726160247366667e-09,1.1272797250812678e-09,5.1121745795282385e-08
0.0,1.871483439125861e-10,0.0,1.783890693470522e-10,-1.1331005173946392e-07,1.59704096471505e-10,1.4146544320151848e-10,1.5934857324620984e-10
2.710505431213761e-20,1.7767357464085247e-08,1.9852334701272664e-23,4.565883873468437e-08,5.3542694232017306e-11,3.805869834215248e-08,3.4629627213637416e-08,3.90072767147813e-08
5.421010862427522e-20,1.863829871872619e-08,-4.756288522179909e-24,1.7765953431035552e-08,5.616731308067846e-11,3.992430444317899e-08,3.6327143067312326e-08,4.091938134771681e-08
2.541098841762901e-21,1.4894515532285942e-09,1.2407709188295415e-24,1.4197393942321837e-09,4.488526177806445e-12,8.453523391556012e-09,1.125876508975115e-09,1.2682024054526701e-09
8.470329472543003e-22,7.273548754115847e-10,1.6543612251060553e-24,6.933118220396243e-10,2.1919151326268773e-12,6.206923917320402e-10,3.3038957869936652e-09,6.193106453279385e-10
6.617444900424222e-24,4.243961575624003e-12,2.0194839173657902e-28,4.045327572729948e-12,1.2789360344405416e-14,3.6216085845335764e-12,3.2080107826472947e-12,3.613546387049918e-12
-5.421010862427522e-20,1.1650718100915571e-10,1.9852334701272664e-23,1.110541891954041e-10,-7.053994939080738e-08,9.94220610586995e-11,8.806778437388843e-11,9.920073391306596e-11
7.573064690121713e-29,6.002713944032511e-17,-1.232595164407831e-32,5.721763450564429e-17,1.808943608621918e-19,5.1224498532390927e-17,4.5374517922613764e-17,5.1110465772215524e-17
