Intercept,input1,input2,input3,input4,input5,input6,input7
5.421010862427522e-20,1.214587954246671e-12,1.3234889800848443e-22,4.818581308387576e-07,9.42168389494803e-13,6.21572968827239e-08,4.801869970360919e-08,6.21572968827239e-08
1.734723475976807e-18,2.966842969850075e-13,-5.929230630780102e-21,2.193334669454944e-13,2.30141068136579e-13,2.1368340929499492e-13,1.6507795269656514e-13,1.1611411744769406e-05
2.7755575615628914e-17,2.2801768759920427e-12,-4.0657581468206416e-20,1.6856945849345972e-12,-0.00013038935579085992,1.6422707835430988e-12,1.2687120451066424e-12,1.6422707750727693e-12
6.617444900424222e-24,1.248496771911981e-16,2.4233807008389483e-27,4.9531062679524254e-11,9.684718088029038e-17,6.389260180229722e-12,4.9359283834614856e-12,6.389260180229724e-12
-1.6543612251060553e-24,1.329355935815442e-16,-1.6155871338926322e-27,9.827693987013954e-17,1.0311950952058327e-16,6.8030619990945275e-12,5.255604853858285e-12,6.803061999094528e-12
0.0,2.966842992747161e-13,0.0,2.1933347010201562e-13,2.301410673954252e-13,1.675015651008366e-06,1.650779536539233e-13,2.1368340643625872e-13
1.6263032587282567e-19,1.2591854301239062e-13,2.113187971131563e-23,9.308935809769065e-14,9.767631105667882e-14,9.069136186373117e-14,5.582088851351833e-07,9.069136209792022e-14
-6.617444900424222e-24,5.122665920773698e-12,1.6155871338926322e-27,3.787096571477206e-12,3.973704731449538e-12,3.689540389969369e-12,2.850299818612571e-12,3.689540389969367e-12
2.117582368135751e-21,1.0961649637638163e-16,3.101927297073854e-25,8.103754434658324e-17,-6.268296362053076e-09,7.895000365318116e-17,6.099165845437845e-17,7.895000308449449e-17
0.0,3.1590949935280215e-19,1.925929944387236e-34,2.3354632146602773e-19,2.4505425333270317e-19,2.275301328377713e-19,1.7577503640278073e-19,2.275301328377715e-19
