Intercept,input1,input2,input3,input4,input5,input6,input7
4.235164736271502e-22,5.129446036438341e-15,-2.0679515313825692e-25,3.235467316795442e-10,4.6534650214153004e-15,2.676716100630491e-10,2.5323026815313686e-10,2.6767161006304854e-10
2.303929616531697e-19,8.096035313194928e-15,-1.852884572118782e-22,8.094526106754337e-15,7.344773086929735e-15,7.676479177984875e-15,7.26231992695688e-15,2.2489564328721186e-07
6.776263578034403e-21,4.2078700493416525e-15,0.0,4.207085700776321e-15,-3.87025350148941e-08,3.98980801664287e-15,3.774551032899274e-15,3.9898080053725344e-15
1.1911400820763599e-22,8.11701191337581e-16,-1.2924697071141057e-26,5.11991481518571e-11,7.363803176818095e-16,4.235727663983268e-11,4.0072029003056883e-11,4.235727663983263e-11
1.3234889800848443e-23,8.115632462615155e-16,-1.9387045606711586e-26,8.114119727138408e-16,7.362551730382212e-16,4.235007820511516e-11,4.006521893622399e-11,4.235007820511511e-11
0.0,8.096035334902168e-15,-4.1359030627651384e-24,8.094526269708918e-15,7.344773098613661e-15,3.244254581462692e-08,7.262319955623858e-15,7.676479139727772e-15
0.0,4.207872267963861e-15,1.2407709188295415e-24,4.207087926512554e-15,3.817407627548742e-15,3.989810123756234e-15,1.323999593073921e-08,3.9898101222311195e-15
1.1580528575742387e-23,5.1226554771271876e-12,-5.6545549686242126e-27,5.121700625762966e-12,4.647304583930095e-12,4.857187045900498e-12,4.595133483949261e-12,4.857187045900489e-12
8.470329472543003e-22,7.138119031644712e-16,2.274746684520826e-24,7.136788453033711e-16,-6.5653952856325815e-09,6.768204394937167e-16,6.403048159986605e-16,6.768204380073765e-16
5.7777898331617076e-34,1.9831011702991825e-22,-1.88079096131566e-37,1.9827315247381435e-22,1.799081589671331e-22,1.8803320578742405e-22,1.7788849221636792e-22,1.8803320578742346e-22
