Intercept,input1,input2,input3,input4,input5,input6,input7
2.117582368135751e-22,7.711444284993041e-15,-1.2924697071141057e-25,2.873470048944473e-10,7.0692826543124406e-15,2.397381627460351e-10,2.2731618140480615e-10,2.397381627460349e-10
0.0,1.1683803475358013e-14,-2.3161057151484775e-23,1.1681869255428635e-14,1.0710848111944245e-14,1.1101345825981395e-14,1.0526131995473853e-14,2.155011713174884e-07
1.0164395367051604e-20,6.412744988502029e-15,8.271806125530277e-25,6.411683420717142e-15,-3.473192409363284e-08,6.093058644283143e-15,5.7773481223408905e-15,6.0930586405091315e-15
6.617444900424221e-23,1.2202854789003805e-15,-1.2924697071141057e-26,4.547077882138709e-11,1.118667612760689e-15,3.793699181682788e-11,3.597129474510132e-11,3.793699181682791e-11
-1.9852334701272664e-23,1.2200526456062304e-15,-6.462348535570529e-27,1.219850676883938e-15,1.1184541684155554e-15,3.792975335118024e-11,3.596443133899433e-11,3.79297533511802e-11
1.0164395367051604e-20,1.168380342320854e-14,-9.926167350636332e-24,1.1681869280605945e-14,1.0710848151558442e-14,3.10873400756998e-08,1.0526131913376177e-14,1.1101345762766701e-14
-5.929230630780102e-21,6.086312818434779e-15,3.308722450212111e-24,6.085305278362819e-15,5.579482129143515e-15,5.7828996699553996e-15,1.2715585890887212e-08,5.782899675642266e-15
3.308722450212111e-24,5.122643241551438e-12,-2.4233807008389483e-27,5.121795234186922e-12,4.6960610327663865e-12,4.8672706833420556e-12,4.615074099708292e-12,4.8672706833420556e-12
-8.470329472543003e-22,1.0878410345453567e-15,-3.618915179919496e-25,1.0876609519676445e-15,-5.891831390825744e-09,1.033610291652444e-15,9.800539963570174e-16,1.0336102910369054e-15
-1.925929944387236e-34,3.1738301343661295e-22,4.70197740328915e-38,3.1733047354264145e-22,2.909533089816058e-22,3.015609254535815e-22,2.859356109591326e-22,3.0156092545358155e-22
