Intercept,input1,input2,input3,input4,input5,input6,input7
9.26442286059391e-23,9.846274691571742e-13,-9.04728794979874e-26,5.150545292547843e-11,8.958716463700258e-13,4.3085350489830846e-11,4.085236088391114e-11,4.308535048983085e-11
6.776263578034403e-21,9.225512921830462e-13,-7.444625512977249e-24,9.225081050287335e-13,8.393911107223492e-13,8.766356615471595e-13,8.312021604122874e-13,2.155640307007511e-08
-1.6940658945086007e-21,8.737511329660938e-13,1.6543612251060553e-24,8.737102302858437e-13,-6.531731205445756e-09,8.3026429963277e-13,7.87234092609588e-13,8.30264299631736e-13
6.617444900424221e-23,9.665625497419394e-13,-6.462348535570529e-26,5.056048451286576e-11,8.794351263611683e-13,4.229486534803148e-11,4.010284430997085e-11,4.229486534803153e-11
3.970466940254533e-23,9.66577785899662e-13,-2.5849394142282115e-26,9.665325377505289e-13,8.794489891084059e-13,4.2295532052156986e-11,4.0103476460741985e-11,4.2295532052156986e-11
1.6940658945086007e-21,9.225512921794325e-13,-8.271806125530277e-25,9.22508105031396e-13,8.393911107248825e-13,3.1103900174452007e-09,8.312021604129465e-13,8.766356615498349e-13
4.235164736271502e-22,4.805680570362962e-13,-2.0679515313825692e-25,4.805455603315063e-13,4.3724891894243497e-13,4.566500531411611e-13,1.2722937184432595e-09,4.566500531411353e-13
4.963083675318166e-24,4.883844000047226e-12,-6.462348535570529e-27,4.8836153739553354e-12,4.443606848265243e-12,4.640773745785072e-12,4.400255810571596e-12,4.640773745785073e-12
-2.964615315390051e-21,8.531888551622426e-13,1.2407709188295415e-24,8.531489150612473e-13,-6.378017789214906e-09,8.107254120327705e-13,7.687078492690727e-13,8.107254120306508e-13
2.465190328815662e-32,4.634272158026415e-20,-7.222237291452134e-35,4.634055215074869e-20,4.2165317929753645e-20,4.4036231627348726e-20,4.175396059114238e-20,4.4036231627348775e-20
