Intercept,input1,input2,input3,input4,input5,input6,input7
2.6469779601696886e-23,1.1822479072211223e-12,-2.1608477915813955e-26,5.1122334344321914e-11,1.0843174301651479e-12,4.1780404645269324e-11,3.9360492825454855e-11,4.178040464526935e-11
8.470329472543003e-21,1.1615218865641402e-12,-1.5716431638507526e-23,1.1614681375892616e-12,1.0653082314045859e-12,1.0972128866650262e-12,1.0336625583235482e-12,2.4246427530160084e-08
4.235164736271502e-22,1.058635420638815e-12,-8.271806125530277e-25,1.0585864326786803e-12,-6.49432911024701e-09,1.0000228486855729e-12,9.421017459081948e-13,1.0000228486825227e-12
0.0,1.0702644880876012e-12,-8.27988406119974e-27,4.62799880318465e-11,9.816100601505336e-13,3.782293300469231e-11,3.563223706923612e-11,3.782293300469235e-11
5.293955920339377e-23,1.0702741227656719e-12,1.6155871338926322e-27,1.0702245962282766e-12,9.81618896748451e-13,3.782327349228901e-11,3.563255783586638e-11,3.782327349228903e-11
-6.352747104407253e-22,1.1615218865646164e-12,2.274746684520826e-24,1.1614681375717939e-12,1.0653082314029315e-12,3.4986308637913456e-09,1.033662558335523e-12,1.0972128866739507e-12
5.293955920339377e-22,6.01162846956873e-13,1.809457589959748e-25,6.01135028369231e-13,5.513660454307117e-13,5.678787720655722e-13,1.4219123279353896e-09,5.678787720658307e-13
1.6543612251060553e-24,4.8835228280017324e-12,-8.077935669463161e-28,4.883296844797146e-12,4.4790004623128315e-12,4.613140950016168e-12,4.345948843903372e-12,4.613140950016172e-12
2.117582368135751e-21,9.553471322341494e-13,-1.6543612251060553e-24,9.553029238998476e-13,-5.860694409327441e-09,9.024532355843009e-13,8.501833432715899e-13,9.024532355843009e-13
4.930380657631324e-32,7.451842389306384e-20,0.0,7.451497558068264e-20,6.834575506723483e-20,7.039262534427837e-20,6.63155000137634e-20,7.039262534427831e-20
