Intercept,input1,input2,input3,input4,input5,input6,input7
-6.617444900424222e-24,9.113400213511419e-15,-9.693522803355793e-27,2.4767387767764235e-11,8.442643888282974e-15,2.302226828438823e-11,2.252025513101557e-11,2.3022268284388245e-11
2.541098841762901e-21,5.5650667072308215e-15,1.4475660719677984e-24,5.564939037384085e-15,5.155471647900008e-15,5.436009940498152e-15,5.317474767020196e-15,8.79085568622372e-09
-6.352747104407253e-22,8.350660459820755e-15,1.0339757656912846e-25,8.350468887070984e-15,-3.294141348763654e-09,8.157004330107261e-15,7.979136389557323e-15,8.157004330960291e-15
9.26442286059391e-23,1.464090299916805e-14,-9.693522803355793e-27,3.978942144045749e-11,1.3563316361507794e-14,3.6985843798798544e-11,3.61793472431062e-11,3.698584379879857e-11
1.3234889800848443e-23,1.4641213162717658e-14,-3.3927329811745276e-26,1.4640877277715656e-14,1.3563603696675865e-14,3.698662733383284e-11,3.618011369273046e-11,3.6986627333832845e-11
2.117582368135751e-22,5.565066708564274e-15,-5.169878828456423e-25,5.564939040175819e-15,5.155471650342776e-15,1.2681380688856988e-09,5.317474766916799e-15,5.436009937422074e-15
-1.5881867761018131e-22,2.9906970308030545e-15,-5.169878828456423e-26,2.9906284209832667e-15,2.7705784249485217e-15,2.9213412219283642e-15,5.351207525525418e-10,2.9213412218249666e-15
-6.617444900424222e-24,5.122146771417531e-12,-1.2116903504194741e-27,5.122029263922273e-12,4.745151109513001e-12,5.003361542035965e-12,4.894260506718596e-12,5.003361542035971e-12
1.6940658945086007e-21,1.3204370225334751e-14,0.0,1.3204067300781294e-14,-5.208816973076004e-09,1.289815405705213e-14,1.2616902753222432e-14,1.289815405807318e-14
0.0,3.006173585367531e-22,2.350988701644575e-38,3.0061046205478764e-22,2.7849158879232413e-22,2.936458867138194e-22,2.8724277752652506e-22,2.936458867138195e-22
