Intercept,input1,input2,input3,input4,input5,input6,input7
-1.6940658945086007e-21,1.0978631461195637e-10,-8.271806125530277e-25,2.667458261588989e-09,9.556659170013752e-11,2.47825375378402e-09,2.4221834368094234e-09,2.478253753784018e-09
-1.6263032587282567e-19,1.2239043063040355e-10,-1.257314531080602e-22,1.2222104750990092e-10,1.0653819971434204e-10,1.1931514993058645e-10,1.166156530503768e-10,9.130022176195361e-07
0.0,8.309034338208657e-11,-1.5881867761018131e-22,8.297534990173035e-11,-2.8736330512915106e-07,8.100254838094451e-11,7.916987141756453e-11,8.100254838056815e-11
5.293955920339377e-23,3.1909874830197217e-12,-5.492996255234949e-26,7.753084666602841e-11,2.777684987312407e-12,7.203153449519425e-11,7.040182609057856e-11,7.203153449519422e-11
-2.6469779601696886e-23,3.1904539101374177e-12,5.492996255234949e-26,3.186038458408609e-12,2.777220523759088e-12,7.201948992476283e-11,7.039005402770668e-11,7.201948992476298e-11
-2.168404344971009e-19,1.223904306305062e-10,2.2685428299266784e-22,1.222210475098348e-10,1.0653819971444171e-10,1.3180812404391592e-07,1.166156530506157e-10,1.1931514993087959e-10
6.776263578034403e-20,6.571818632969405e-11,-5.790264287871194e-23,6.562723517118761e-11,5.720624744938744e-11,6.406689816134849e-11,5.558520873302786e-08,6.406689816127943e-11
-3.308722450212111e-24,4.881443416197499e-12,3.2311742677852644e-27,4.874687707330463e-12,4.249189997058764e-12,4.7587883307775755e-12,4.651121079304924e-12,4.758788330777574e-12
3.3881317890172014e-21,2.6453120653476898e-12,-1.1580528575742387e-23,2.6416510666229424e-12,-9.148663818852637e-09,2.578843820276708e-12,2.52049766011394e-12,2.578843820265179e-12
9.466330862652142e-30,7.839390999913561e-18,3.0814879110195774e-33,7.828541618127322e-18,6.824018836177256e-18,7.642412137156689e-18,7.4695030997643e-18,7.642412137156696e-18
