Intercept,input1,input2,input3,input4,input5,input6,input7
-1.164670302474663e-21,1.142176702269548e-12,1.2924697071141057e-25,2.920835832027049e-10,1.0544225175302215e-12,2.444165143105155e-10,2.3190431387552898e-10,2.4441651431051576e-10
-9.486769009248164e-20,1.5494106581423892e-12,-6.617444900424222e-24,1.5491509514198295e-12,1.430368421443114e-12,1.4730464998130896e-12,1.3976381213783729e-12,2.1277321901795953e-07
3.3881317890172014e-20,9.540699833524633e-13,-6.617444900424222e-24,9.539100657173565e-13,-3.5244886259062326e-08,9.070477491644605e-13,8.60614048486164e-13,9.070477491406791e-13
-1.7205356741102976e-22,1.6353987457978206e-13,2.908056841006738e-26,4.182129828849446e-11,1.5097499881441892e-13,3.499620156508505e-11,3.320467168552361e-11,3.499620156508505e-11
-5.955700410381799e-23,1.6350319111101148e-13,0.0,1.6347578530708686e-13,1.509411337606307e-13,3.498835160148191e-11,3.319722357822818e-11,3.498835160148192e-11
-5.590417451878382e-20,1.549410658017805e-12,9.926167350636332e-24,1.5491509513987364e-12,1.4303684214499383e-12,3.06950677205529e-08,1.3976381213086054e-12,1.4730464998437986e-12
3.3881317890172014e-21,8.076471584233131e-13,-4.342698215903395e-24,8.07511783592265e-13,7.455950978393307e-13,7.678415104504954e-13,1.2563505086731307e-08,7.678415104481173e-13
-3.3087224502121107e-23,4.885276678677875e-12,1.9689968194316455e-27,4.8844578265607775e-12,4.5099376691293566e-12,4.644501233866231e-12,4.406739352175851e-12,4.6445012338662365e-12
7.199780051661553e-21,1.47140114331272e-13,-1.2407709188295415e-24,1.4711545125609444e-13,-5.435593493364628e-09,1.398881757566472e-13,1.3272700294342635e-13,1.3988817575385545e-13
-7.395570986446986e-31,1.0958186817238948e-19,6.620384183831123e-35,1.095635004625031e-19,1.0116262140918831e-19,1.0418102298225808e-19,9.884777516652441e-20,1.0418102298225826e-19
