Intercept,input1,input2,input3,input4,input5,input6,input7
3.3881317890172014e-21,7.669452727988824e-12,4.963083675318166e-24,2.4044464022287848e-08,7.085296656603766e-12,1.3255191112474575e-08,1.1552481215119073e-08,1.3255191112474568e-08
3.0357660829594124e-18,1.2560586254400285e-11,1.6940658945086007e-21,1.252575915255004e-11,1.1603889213126245e-11,1.0832780493438909e-11,9.44124396734812e-12,5.544674694362888e-06
1.430511474609375e-06,8.945981232174621e-11,2.3283064365386963e-09,4.540197551250458e-09,8073634.428469468,-1.1059455573558807e-09,2.3283064365386963e-09,-3.841705620288849e-09
7.940933880509066e-23,5.840502545045715e-14,-2.5849394142282115e-26,1.8310531180928788e-10,5.3956513747443203e-14,1.0094198396319328e-10,8.797537233953464e-11,1.0094198396319323e-10
5.293955920339377e-23,5.83815812651255e-14,3.2311742677852644e-26,5.821970496389385e-14,5.3934855225804726e-14,1.0090146514558012e-10,8.794005841042097e-11,1.0090146514558016e-10
5.421010862427522e-19,1.2560586254991787e-11,-1.5881867761018131e-22,1.252575915413161e-11,1.1603889215932042e-11,1.0188775885004287e-06,9.441243968115744e-12,1.0832780491930131e-11
2.0328790734103208e-20,6.014174662839477e-12,0.0,5.9974989865641724e-12,5.556095479334834e-12,5.186878433529422e-12,9.309977306559015e-08,5.186878433549274e-12
3.308722450212111e-24,3.519247275631305e-12,8.077935669463161e-28,3.5094893567828667e-12,3.2511982067217313e-12,3.035147600413362e-12,2.645264435749295e-12,3.0351476004133628e-12
-1.1175870895385742e-08,4.804164771723555e-12,5.4569682106375694e-12,2.1827872842550278e-11,48470.325578341835,5.9117155615240335e-12,9.094947017729282e-12,-2.091837814077735e-11
7.888609052210118e-31,1.9745769398416437e-18,1.5407439555097887e-33,1.9691019731712443e-18,1.8241801450839e-18,1.702958613420207e-18,1.4842032245877892e-18,1.702958613420206e-18
