Intercept,input1,input2,input3,input4,input5,input6,input7
2.6469779601696886e-23,1.0826243842315066e-13,4.2005265481208437e-26,8.243008269711748e-11,7.618820190227153e-14,2.494128264990341e-12,1.8777247673717215e-12,2.4941282649902723e-12
0.0,2.3435778478621802e-14,5.169878828456423e-25,2.3432936717841067e-14,1.6492606747740337e-14,1.6994348860088972e-14,1.279433387892283e-14,1.2163205563501969e-09
-1.862645149230957e-09,6.21571345113134e-13,-4.547473508864641e-13,-4.092726157978177e-12,16850.626088798555,-2.0463630789890885e-12,4.092726157978177e-12,-1.5916157281026244e-12
3.970466940254533e-23,1.7653347267820574e-13,6.462348535570529e-26,1.3441105672123193e-10,1.242330031986859e-13,4.066942610350735e-12,3.0618308505334957e-12,4.066942610350648e-12
-3.308722450212111e-24,1.7655445821043258e-13,2.4233807008389483e-27,1.7653304967828187e-13,1.2424777147838318e-13,4.067426070818951e-12,3.0621948276826294e-12,4.0674260708189485e-12
-5.293955920339377e-23,2.343577847870313e-14,1.0339757656912846e-25,2.343293671762781e-14,1.6492606747817885e-14,2.2352040143064391e-10,1.2794333879174862e-14,1.6994348859966188e-14
0.0,9.693249335934222e-15,8.077935669463161e-28,9.69207395785231e-15,6.821490890579621e-15,7.0290159531515545e-15,1.7646087264185766e-11,7.029015953137519e-15
3.308722450212111e-24,7.624630548504874e-12,8.077935669463161e-28,7.623706005732634e-12,5.365728872553427e-12,5.5289663873203265e-12,4.162527352408525e-12,5.528966387320325e-12
-1.862645149230957e-09,5.897989910045267e-12,9.094947017729282e-13,-1.0231815394945443e-11,27063.951465441667,-2.2737367544323206e-12,1.1254996934439987e-11,-4.320099833421409e-12
3.0814879110195774e-33,3.605094786973101e-21,3.76158192263132e-36,3.604657642601666e-21,2.5370358686489523e-21,2.6142181937178047e-21,1.968135447788157e-21,2.614218193717805e-21
