Intercept,input1,input2,input3,input4,input5,input6,input7
-5.204170427930421e-18,7.027400884838902e-07,2.541098841762901e-21,8.668871694145033e-06,1.706246190279514e-11,1.7201293259313625e-06,8.777495653986469e-07,1.7201293259313663e-06
6.938893903907228e-18,5.825458992037947e-07,1.0164395367051604e-20,1.0133056113620755e-11,1.4144158517619175e-11,9.457769900835726e-11,4.8261216725709825e-11,3.6103414007440584e-05
0.00390625,-2.178765264789651e-06,-2.384185791015625e-07,-1.6689300537109375e-06,7664362899.652528,-9.5367431640625e-07,-1.3113021850585938e-06,1.5497207641601562e-06
0.0,2.8663292863559413e-11,2.0679515313825692e-25,3.5358507681264306e-10,6.959419996669095e-16,7.016046393302916e-11,3.580156200873992e-11,7.016046393302934e-11
2.168404344971009e-18,1.049552223295761e-06,4.235164736271502e-22,1.8256366734716172e-11,2.5483027247680437e-11,2.5695971674117642e-06,1.3112169898760582e-06,2.569597167411766e-06
2.168404344971009e-18,5.825458992037963e-07,0.0,1.0133056115738337e-11,1.414415852312489e-11,6.6343059305227306e-06,4.826121672719213e-11,9.457769900454561e-11
3.7947076036992655e-19,1.6331140744154808e-07,-7.940933880509066e-23,2.840709476019568e-12,3.96518529829404e-12,2.651399170120936e-11,3.5492471841281037e-07,2.6513991701222594e-11
1.0339757656912846e-24,2.337088172306614e-12,-5.492444052601295e-29,4.0652325647097133e-17,5.67442765143828e-17,3.794317701142682e-16,1.9361687885638763e-16,3.794317701147945e-16
0.0,-1.033174446918062e-11,-1.8189894035458565e-11,-3.456079866737127e-11,105994.18535729984,2.1827872842550278e-11,0.0,1.0913936421275139e-11
1.0339757656912846e-24,2.3197031969840524e-12,-8.337273692054569e-29,4.0349923843544944e-17,5.632217098271807e-17,3.766092784180465e-16,1.9217661455643652e-16,3.766092784180876e-16
