Intercept,input1,input2,input3,input4,input5,input6,input7
-2.6469779601696886e-23,2.6466109104541718e-14,1.2924697071141057e-26,1.1220290725787241e-10,2.4639856242635247e-14,7.730963440748485e-11,7.032088617653808e-11,7.730963440748478e-11
0.0,5.454169089045502e-14,0.0,5.454045813922917e-14,5.077812599665413e-14,4.908030367894212e-14,4.4643471358899665e-14,3.7387417152515277e-08
5.587935447692871e-09,-1.216332894683515e-12,-4.547473508864641e-12,-1.0516032489249483e-12,30350.761567376172,8.981260180007666e-12,-8.071765478234738e-12,8.185452315956354e-12
5.293955920339377e-23,3.918525247369791e-14,0.0,1.6612563757751319e-10,3.648133482603429e-14,1.1446327569134165e-10,1.0411585881856441e-10,1.1446327569134152e-10
7.940933880509066e-23,3.9171280250002506e-14,2.5849394142282115e-26,3.917039489995851e-14,3.6468326733875564e-14,1.1446519296104793e-10,1.0411760276814887e-10,1.1446519296104791e-10
-1.6940658945086007e-21,5.454169088621079e-14,-1.0339757656912846e-24,5.4540458136482674e-14,5.077812599489637e-14,6.870212423581651e-09,4.464347136227301e-14,4.908030369517554e-14
0.0,2.7255626072058743e-14,-9.04728794979874e-26,2.7255010039833567e-14,2.5374893814657937e-14,2.4526456427283093e-14,6.55169138044378e-10,2.4526456427048833e-14
3.308722450212111e-24,3.2825089679331837e-12,-8.077935669463161e-28,3.2824347766014004e-12,3.0560045213052985e-12,2.953823660491067e-12,2.6867996337963166e-12,2.953823660491065e-12
2.60770320892334e-08,-6.2626654629975716e-12,-1.2732925824820995e-11,-1.2505552149377763e-12,44295.07335764184,-5.343281372915953e-12,-2.2737367544323206e-12,0.0
1.5407439555097887e-33,8.365784855433467e-22,-9.4039548065783e-38,8.365595771800817e-22,7.788516830334663e-22,7.528099233226588e-22,6.84756322239389e-22,7.528099233226583e-22
