Intercept,input1,input2,input3,input4,input5,input6,input7
3.3881317890172014e-21,2.8648028516929533e-12,-2.895132143935597e-24,8.124615511050903e-09,2.6236665081804478e-12,5.5386705303704e-09,5.025568335302774e-09,5.53867053037039e-09
1.0842021724855044e-18,1.0058195103081337e-11,2.3822801641527197e-22,1.004877186053856e-11,9.211576150548156e-12,9.029004195043179e-12,8.192557640372982e-12,3.840869434080146e-06
-7.152557373046875e-07,3.118612629254465e-10,0.0,9.022187441587448e-10,1958938.1540361266,-8.585629984736443e-10,0.0,7.676135282963514e-10
0.0,7.253220826269044e-14,-2.5849394142282115e-26,2.0570221924820885e-10,6.642702323148548e-14,1.4023024452445477e-10,1.2723932082068354e-10,1.4023024452445446e-10
-5.293955920339377e-23,7.247411865230149e-14,6.462348535570529e-26,7.240621967652885e-14,6.637382314292382e-14,1.4011793689649762e-10,1.271374173664559e-10,1.401179368964974e-10
-3.2526065174565133e-19,1.0058195102810045e-11,4.334426409777865e-22,1.0048771861451353e-11,9.211576150338052e-12,7.05791214865335e-07,8.192557640832068e-12,9.029004193253677e-12
6.776263578034403e-21,5.0139102492289e-12,-2.6469779601696886e-23,5.009212856890925e-12,4.591879119416588e-12,4.500868814031227e-12,6.714251806837094e-08,4.5008688139842844e-12
1.6543612251060553e-24,3.5195463966213685e-12,-8.077935669463161e-28,3.516249031983575e-12,3.2232989433573346e-12,3.1594136768519696e-12,2.866725732365946e-12,3.1594136768519627e-12
-1.1175870895385742e-08,1.7192251024703873e-11,-7.275957614183426e-12,3.001332515850663e-11,53932.60487161693,-2.6147972675971687e-11,-7.275957614183426e-12,4.206412995699793e-12
4.930380657631324e-32,8.056646558323494e-20,-7.222237291452134e-35,8.049098511368884e-20,7.378502060202083e-20,7.23226133639401e-20,6.562264963318839e-20,7.232261336394004e-20
