Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,1.5085125591367112e-08,1.2705494208814505e-21,7.9335050534118e-06,1.7455904975296463e-09,5.722870815570767e-07,4.2631809900489697e-07,5.722870815570784e-07
-7.806255641895632e-18,7.312914643439098e-09,1.7999450129153882e-21,6.215314705728959e-10,8.462212815907704e-10,4.747434817954487e-09,3.536542151589695e-09,1.2885363740937087e-05
-0.00244140625,1.7026133401680299e-06,1.6689300537109375e-06,-2.86102294921875e-06,6756463721.758562,-4.410743713378906e-06,0.0,2.0265579223632812e-06
7.940933880509066e-23,6.23641286567464e-13,2.5849394142282115e-26,3.2798277140829895e-10,7.21652794408223e-14,2.365918995281117e-11,1.7624617451149265e-11,2.3659189952811207e-11
5.293955920339377e-23,4.619729519117629e-12,-8.077935669463161e-26,3.9263514230181925e-13,5.345766530670516e-13,1.7525949704999054e-10,1.3055736888489235e-10,1.7525949704999062e-10
4.336808689942018e-19,7.312914643440079e-09,-4.235164736271502e-22,6.215314705731342e-10,8.462212815866676e-10,2.371641456729597e-06,3.5365421515919977e-09,4.7474348179500136e-09
1.7618285302889447e-19,2.9928653737703844e-09,-3.970466940254533e-23,2.5436643358832505e-10,3.4632243034354793e-10,1.942923440740202e-09,1.8629737811405594e-07,1.942923440740171e-09
0.0,3.4795962648292345e-12,-8.204153414298523e-28,2.957341482744325e-13,4.026449855082607e-13,2.258901855893331e-12,1.6827406664901722e-12,2.258901855893332e-12
-7.450580596923828e-08,1.606782074665873e-11,5.4569682106375694e-11,-3.2741809263825417e-11,95225.99278392583,-4.547473508864641e-11,6.366462912410498e-12,3.444711182964966e-11
-6.462348535570529e-27,6.742752620956218e-15,-1.553069907153867e-30,5.730728658204098e-16,7.80244409040356e-16,4.377294160032418e-15,3.2608105009341014e-15,4.377294160032423e-15
