Intercept,input1,input2,input3,input4,input5,input6,input7
-1.6940658945086007e-21,1.440949353307553e-16,6.203854594147708e-25,1.37619458817921e-08,1.3399830961744951e-16,2.5775872436148886e-09,2.0236856372171953e-09,2.5775872436148873e-09
4.336808689942018e-18,9.503418488396056e-16,-2.541098841762901e-21,9.488302668278286e-16,8.837492844189325e-16,7.297467832072799e-16,5.729357854403281e-16,1.029673198538717e-05
2.1457672119140625e-06,6.35749267130225e-10,-1.0477378964424133e-09,-7.275957614183426e-11,3604304.775683271,-6.402842700481415e-10,-1.8917489796876907e-10,-7.566995918750763e-10
-7.940933880509066e-23,1.760879333388262e-18,3.2311742677852644e-26,1.6817472675634805e-10,1.6374958908916032e-18,3.149881812564819e-11,2.472998963976665e-11,3.1498818125648144e-11
-6.617444900424222e-24,1.7581022705951826e-18,-1.6155871338926322e-27,1.7553113175250233e-18,1.6349134470546258e-18,3.144914250679689e-11,2.4690988889495927e-11,3.144914250679691e-11
-1.0842021724855044e-19,9.503398388076953e-16,0.0,9.488313785585719e-16,8.837502770356676e-16,1.8920890747699547e-06,5.729329432477434e-16,7.297505948555426e-16
-2.710505431213761e-20,4.0990704656570763e-16,2.6469779601696886e-23,4.0925635880431064e-16,3.81185281613803e-16,3.147609421736891e-16,1.5573711274879562e-07,3.1476095871730136e-16
3.308722450212111e-24,3.5218953810549026e-12,-3.736045247126712e-27,3.5163044160359596e-12,3.275118981877052e-12,2.7044059701004403e-12,2.1232520964921353e-12,2.704405970100444e-12
3.725290298461914e-08,1.051172238464293e-11,-2.546585164964199e-11,-5.4569682106375694e-12,44773.214750101004,-1.6257217794191092e-11,9.094947017729282e-12,-1.864464138634503e-11
1.2037062152420224e-35,2.4624178642497604e-23,-2.71833068627654e-38,2.4585088065829455e-23,2.2898782093015907e-23,1.8908504803354984e-23,1.4845227716962926e-23,1.8908504803354996e-23
