Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,8.552672413297657e-11,-2.0679515313825692e-24,1.7059710448979043e-09,4.17170172395645e-11,1.1940493064517178e-09,1.0856913323042337e-09,1.194049306451724e-09
0.0,5.982542971835136e-11,-2.6469779601696886e-23,5.980589653569848e-11,2.918080293877041e-11,5.3800734760657386e-11,4.891840821456996e-11,3.759985811562517e-08
-7.450580596923828e-08,-1.1877442010975655e-11,8.731149137020111e-11,6.366462912410498e-11,229690.65092316677,1.9463186617940664e-10,-1.3460521586239338e-10,3.2741809263825417e-11
2.541098841762901e-21,1.2416399789323834e-10,-2.895132143935597e-24,2.4766549563536595e-09,6.056296079564595e-11,1.7334691241088874e-09,1.5761597052090685e-09,1.733469124108898e-09
-2.541098841762901e-21,1.24203713768285e-10,-1.2407709188295415e-24,1.241631608824881e-10,6.058233284410161e-11,1.7340236024142138e-09,1.5766638655371065e-09,1.7340236024142181e-09
-2.541098841762901e-21,5.98254297183103e-11,-1.0339757656912846e-24,5.980589653572066e-11,2.9180802938776254e-11,6.9531242336605055e-09,4.891840821453894e-11,5.380073476070081e-11
-3.1763735522036263e-22,2.988455448981874e-11,-1.0339757656912846e-25,2.987479709297088e-11,1.457666580226036e-11,2.6875042889267144e-11,6.821114050584448e-10,2.6875042889267377e-11
-1.6543612251060553e-24,3.3303590894683706e-12,-5.2506581851510546e-27,3.3292717172175263e-12,1.6244355078219286e-12,2.9949766658430754e-12,2.7231875509579224e-12,2.994976665843092e-12
-5.960464477539063e-08,-9.2237308205486e-11,1.7462298274040222e-10,3.2741809263825417e-11,328815.06436598505,2.2009771782904863e-10,-8.731149137020111e-11,2.1827872842550278e-11
0.0,9.673808547602495e-19,-1.7333369499485123e-33,9.670650020040743e-19,4.718553668969463e-19,8.69961169098066e-19,7.910136504645428e-19,8.699611690980716e-19
