Intercept,input1,input2,input3,input4,input5,input6,input7
3.7947076036992655e-19,5.013335737810848e-08,-4.218621124020441e-22,2.6553044194116645e-07,1.574141899015312e-10,1.2433497071066708e-07,9.678306952081674e-08,1.349866786662545e-07
8.131516293641283e-20,2.4148663978150757e-09,-8.602678370551488e-23,2.308992790363643e-09,7.582461211461311e-12,1.6147619813001764e-09,1.1044238625129048e-09,1.5003640509671284e-07
-1.0728836059570312e-06,2.512916151755176e-09,-5.820766091346741e-11,8.731149137020111e-10,1027434.2516097316,8.640199666842818e-10,-9.604264050722122e-10,-5.820766091346741e-10
5.421010862427522e-20,2.8514749098161613e-08,-2.5890753172909766e-22,1.5102786499558397e-07,8.953372293989795e-11,7.071899189201501e-08,5.504807754090509e-08,7.677744869014481e-08
2.710505431213761e-20,2.9684889453070262e-08,-1.0587911840678754e-22,2.8383431808858362e-08,9.320785740239512e-11,7.386554648567972e-08,5.7505899153792195e-08,8.020545710029745e-08
-3.049318610115481e-20,2.217402523807218e-09,-1.2407709188295415e-24,2.120186212139107e-09,6.9624425777537035e-12,2.65385319124731e-08,1.0141150095531526e-09,1.4144211131444925e-09
2.964615315390051e-21,9.512144471827192e-10,-3.9291079096268815e-24,9.095108957671807e-10,2.986726990925659e-12,6.360537902899994e-10,2.486129612758594e-09,6.067539757793951e-10
-1.6543612251060553e-24,2.264232054420056e-12,-4.3860666330288256e-27,2.1649626224030386e-12,7.10948305158469e-15,1.5140364873299167e-12,1.0355321989785628e-12,1.4442924044893366e-12
-4.172325134277344e-07,1.385893457711375e-09,-2.9103830456733704e-11,4.984030965715647e-10,639761.9459872611,4.320099833421409e-10,-4.802132025361061e-10,-2.874003257602453e-10
0.0,3.0950661017353136e-17,-6.110012748568506e-32,2.959370887380141e-17,9.718226517845135e-20,2.0695948542807302e-17,1.4155088918811773e-17,1.9742589781830887e-17
