Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,8.801571134578837e-13,4.235164736271502e-22,2.173142571819801e-06,6.886008800054967e-13,1.6201362422671472e-07,1.2340604072434734e-07,1.6201362422671453e-07
-3.469446951953614e-18,2.0543268568038128e-13,-1.0587911840678754e-21,1.5393495351048259e-13,1.6072258675882842e-13,1.4787280551670727e-13,1.1263495700290877e-13,1.1769175505285967e-05
-0.0001220703125,1.0295035427351699e-07,5.066394805908203e-07,-1.8998980522155762e-07,1185694491.019917,-3.7439167499542236e-07,-5.774199962615967e-07,3.157183527946472e-07
5.293955920339377e-23,9.047608027419191e-17,0.0,2.2338900500862677e-10,7.078498541058931e-17,1.6654251213504002e-11,1.2685570200017292e-11,1.665425121350408e-11
-3.308722450212111e-24,9.504522016090492e-17,-2.0194839173657902e-27,7.1219345545217e-17,7.435970381550005e-17,1.7495308903758173e-11,1.3326205208772883e-11,1.7495308903758176e-11
0.0,2.0543268535615245e-13,-1.0587911840678754e-22,1.5393495043998815e-13,1.607225863882515e-13,2.1626599254998645e-06,1.1263495464048094e-13,1.4787280463327838e-13
-9.486769009248164e-20,8.596690145999453e-14,-6.617444900424222e-24,6.441677394136916e-14,6.725717844120407e-14,6.187996208555355e-14,1.72700688146241e-07,6.187996212236308e-14
-3.308722450212111e-24,3.5218906676594482e-12,2.0194839173657902e-27,2.6390253821978778e-12,2.755391028389022e-12,2.53509731419796e-12,1.930987741859991e-12,2.5350973141979603e-12
7.450580596923828e-09,6.228816863595528e-12,3.2741809263825417e-11,-1.5916157281026244e-12,57006.581873374926,-2.6261659513693303e-11,-2.2851054382044822e-11,2.049205249932129e-11
0.0,2.1719129969242382e-19,-2.407412430484045e-35,1.6274592449565383e-19,1.6992207171904235e-19,1.5633678966057788e-19,1.1908198661471421e-19,1.5633678966057797e-19
