Intercept,input1,input2,input3,input4,input5,input6,input7
-4.235164736271502e-22,5.403430935323024e-15,6.203854594147708e-25,1.2784784743460526e-09,4.955913570112486e-15,6.114539639205302e-10,5.215267911336321e-10,6.114539639205296e-10
3.7947076036992655e-19,2.1783030216936118e-14,1.5881867761018131e-22,2.1779599777588688e-14,1.9978938810074633e-14,1.8387769961837783e-14,1.5683461489840583e-14,6.486705215983991e-07
-5.960464477539063e-08,8.373008507077384e-11,0.0,-4.3655745685100555e-11,313309.060692677,2.9103830456733704e-11,-1.4551915228366852e-11,-7.275957614183426e-11
5.293955920339377e-23,8.551112837391758e-16,7.754818242684634e-26,2.0232355748272972e-10,7.842901419364941e-16,9.67646649511227e-11,8.25333846615458e-11,9.676466495112255e-11
1.0587911840678754e-22,8.54941239707262e-16,6.583517570612476e-26,8.548065974862253e-16,7.841341811695159e-16,9.674542271773106e-11,8.251697240350655e-11,9.674542271773098e-11
-7.453889935837843e-20,2.178303041666007e-14,2.481541837659083e-23,2.1779599891739613e-14,1.9978938781950492e-14,1.1919729123179364e-07,1.56834616470049e-14,1.8387770247628684e-14
2.541098841762901e-21,1.0207232456062648e-14,7.444625512977249e-24,1.020562494184544e-14,9.36185961030081e-15,8.61625961204175e-15,1.0658604362435332e-08,8.616259607078667e-15
1.6543612251060553e-24,3.521863480185193e-12,2.5748419946413825e-27,3.5213088323798193e-12,3.2301793478124937e-12,2.9729204464237897e-12,2.535689932857276e-12,2.972920446423787e-12
0.0,1.0492364507791843e-11,1.4551915228366852e-11,-2.000888343900442e-11,53152.71463933354,-2.7284841053187847e-12,-1.8189894035458565e-12,-7.275957614183426e-12
3.851859888774472e-34,2.170079928534886e-22,9.697828394283872e-38,2.16973816910082e-22,1.9903518145136042e-22,1.831835625149219e-22,1.562425647456443e-22,1.831835625149215e-22
