Intercept,input1,input2,input3,input4,input5,input6,input7
-3.705769144237564e-22,8.467035926029718e-13,2.2779778587886114e-25,2.2280960732111086e-10,7.770105655904401e-13,9.93654700795625e-11,8.39116511497583e-11,9.936547007956257e-11
-1.5585406229479126e-19,2.118596713627606e-12,1.737079286361358e-23,2.118501964681058e-12,1.9442128805818648e-12,1.7693430983094589e-12,1.4941659381375535e-12,6.928424306876345e-08
6.705522537231445e-08,-5.7573512354231625e-11,7.275957614183426e-12,5.9117155615240335e-12,58534.93075053467,-3.092281986027956e-11,1.4097167877480388e-11,-2.4215296434704214e-11
-2.3822801641527197e-22,7.666197346434103e-13,1.8740810753154533e-25,2.0173558200621152e-10,7.035184907823114e-13,8.99671750192169e-11,7.597502632551338e-11,8.996717501921679e-11
-4.499862532288471e-22,7.662739628244156e-13,4.52364397489937e-26,7.662396931382307e-13,7.032011797905846e-13,8.996755172806823e-11,7.597534444670463e-11,8.996755172806814e-11
-1.0164395367051604e-20,2.1185967135600897e-12,4.1359030627651384e-24,2.1185019646172615e-12,1.9442128804629575e-12,1.2732858367668038e-08,1.4941659381921086e-12,1.7693430982691597e-12
-1.9058241313221758e-21,9.829058477276823e-13,-3.4896682092080855e-25,9.828618897212522e-13,9.02001875671717e-13,8.208724514648025e-13,1.1278210937471532e-09,8.208724514642835e-13
-1.6543612251060553e-23,3.28019383046138e-12,2.8272774843121063e-27,3.280047131997948e-12,3.010197766630734e-12,2.7394493146172673e-12,2.3133963442889045e-12,2.739449314617263e-12
4.842877388000488e-08,-5.2817343279598856e-11,0.0,-2.7284841053187847e-12,52832.10208721433,-3.183231456205249e-11,9.094947017729282e-12,-1.2278178473934531e-11
-2.465190328815662e-31,4.9729523034255405e-20,3.611118645726067e-35,4.972729900573958e-20,4.563623581728144e-20,4.1531541986124884e-20,3.507234716507457e-20,4.153154198612483e-20
