Intercept,input1,input2,input3,input4,input5,input6,input7
-1.0587911840678754e-22,7.006247586894934e-15,1.9387045606711586e-26,1.101620452591167e-10,6.493401841809974e-15,7.778538807853839e-11,7.113758177111017e-11,7.778538807853833e-11
-6.776263578034403e-21,1.4518411220040803e-14,-6.617444900424222e-24,1.451808901773216e-14,1.3455687528090375e-14,1.313039927942814e-14,1.200823027162876e-14,3.5155174246721516e-08
5.587935447692871e-09,-1.18241450062642e-11,1.8189894035458565e-12,3.637978807091713e-12,29713.59576683387,1.0459189070388675e-11,-4.092726157978177e-12,1.8758328224066645e-12
-2.117582368135751e-22,1.1256715003166982e-14,3.877409121342317e-26,1.769938518835962e-10,1.0432742067368177e-14,1.2497530727482122e-10,1.1429448846685343e-10,1.2497530727482107e-10
0.0,1.125694507211333e-14,-5.331437541845686e-26,1.125669522726178e-14,1.043295529552998e-14,1.2497786156593101e-10,1.1429682445947581e-10,1.2497786156593088e-10
-3.8116482626443515e-21,1.451841123540985e-14,-1.2407709188295415e-24,1.451808900036137e-14,1.3455687525143544e-14,6.45999444713444e-09,1.2008230275557868e-14,1.3130399271233882e-14
-5.293955920339377e-23,7.294525012245402e-15,-5.169878828456423e-26,7.294363112394923e-15,6.760577836231262e-15,6.597142373062308e-15,6.193803629655026e-10,6.597142372952448e-15
-1.6543612251060553e-24,3.521343369196599e-12,0.0,3.5212652139153053e-12,3.2635868537385745e-12,3.184690368642626e-12,2.912515796491719e-12,3.18469036864262e-12
3.725290298461914e-09,-1.2832341093149728e-11,-4.547473508864641e-12,-6.366462912410498e-12,46988.49311638877,1.9554136088117957e-11,-1.8189894035458565e-12,1.1198153515579179e-11
0.0,2.0239750716153026e-22,0.0,2.023930150025878e-22,1.8758234410765035e-22,1.830475827302418e-22,1.674037078959996e-22,1.8304758273024149e-22
