Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,8.077229818114085e-13,-2.0679515313825692e-25,1.294334721404045e-09,7.460477283830616e-13,6.266651713098703e-10,5.353951429203114e-10,6.266651713098701e-10
0.0,2.935028841749184e-12,1.5881867761018131e-22,2.9345611700103272e-12,2.710919027131631e-12,2.4819317580333127e-12,2.1204532645924965e-12,6.413059550017008e-07
2.384185791015625e-07,-3.039062957617964e-12,-5.820766091346741e-11,6.548361852765083e-11,317710.6522987969,-8.003553375601768e-11,7.275957614183426e-11,-1.3096723705530167e-10
2.6469779601696886e-23,1.1565970055808755e-13,-6.462348535570529e-26,1.8533874814832266e-10,1.0682828000427355e-13,8.973361869851991e-11,7.666445465196397e-11,8.973361869851987e-11
7.940933880509066e-23,1.1558142263358527e-13,-1.9387045606711586e-26,1.1556300572322194e-13,1.0675597914238716e-13,8.971270470564842e-11,7.664658665687642e-11,8.971270470564859e-11
-4.0657581468206416e-20,2.9350288418124924e-12,3.8050308177439273e-23,2.934561170048791e-12,2.710919027247436e-12,1.1784601678803084e-07,2.120453264660739e-12,2.4819317581201666e-12
5.082197683525802e-21,1.3776157242874264e-12,-2.274746684520826e-24,1.3773962130198636e-12,1.2724252062057708e-12,1.1649453551874038e-12,1.055617165450631e-08,1.164945355184819e-12
-4.963083675318166e-24,3.282239042813333e-12,2.4233807008389483e-27,3.2817160461178104e-12,3.0316173205963384e-12,2.7755411470196218e-12,2.371300204834554e-12,2.7755411470196226e-12
1.4901161193847656e-08,5.782800141529566e-12,-7.275957614183426e-12,-9.094947017729282e-13,49002.26988403183,-1.1368683772161603e-11,1.5916157281026244e-11,-1.8189894035458565e-11
-4.930380657631324e-32,7.354336809448714e-20,-2.407412430484045e-35,7.353164958831209e-20,6.792782171621948e-20,6.219006037466959e-20,5.3132450608228925e-20,6.219006037466963e-20
