Intercept,input1,input2,input3,input4,input5,input6,input7
-1.0842021724855044e-19,1.3892785358708664e-11,-7.940933880509066e-23,9.10372505287474e-08,3.679470760187718e-12,7.563226518237016e-08,7.16225743847113e-08,7.563226518237009e-08
-1.5178830414797062e-18,5.4597289542227885e-12,-2.1440521477374477e-21,5.424943484140834e-12,1.4459960706515845e-12,5.155523591234728e-12,4.882200354699561e-12,3.073705917046032e-06
2.168404344971009e-19,4.675414094562205e-12,6.88214269644119e-22,8.098904804388644e-09,2.3080820120646116e-06,6.7288468616986915e-09,6.372112929755199e-09,6.728846861698509e-09
-4.235164736271502e-22,1.0582809223205079e-13,-8.271806125530277e-25,6.934749437743417e-10,2.8028315482999958e-14,5.76127689931805e-10,5.455839280726862e-10,5.761276899318043e-10
1.88079096131566e-37,1.2376033259432277e-28,-2.7550648847397363e-40,1.2297182071387229e-28,3.277762617741127e-29,6.737507312012894e-25,6.380314241000197e-25,6.737507312012902e-25
1.8973538018496328e-19,5.459728952297845e-12,-1.3234889800848443e-23,5.4249434838629015e-12,1.4459960706515845e-12,1.8786144497873004e-07,4.882200352065818e-12,5.155523588517026e-12
1.3552527156068805e-20,2.8404735618371977e-12,-6.617444900424222e-24,2.82237610601754e-12,7.522925853464786e-13,2.6822079590438764e-12,1.4161270042693336e-07,2.682207959109844e-12
-1.3234889800848443e-23,8.148500760049987e-12,-4.8467614016778965e-27,8.096584370375374e-12,2.1581108116266997e-12,7.69448231690636e-12,7.286554630693937e-12,7.694482316906351e-12
-5.082197683525802e-21,2.808314868367601e-14,7.444625512977249e-24,4.864654620421227e-11,1.3863629830809064e-08,4.041721290281844e-11,3.8274469640365415e-11,4.041721290282613e-11
1.5777218104420236e-30,4.571134030238188e-18,-3.851859888774472e-33,4.542010049943285e-18,1.2106538444982914e-18,4.3164394285042515e-18,4.087600752135217e-18,4.31643942850425e-18
