Intercept,input1,input2,input3,input4,input5,input6,input7
-7.940933880509066e-23,1.5427784368753213e-13,-1.0339757656912846e-25,3.0690884870818394e-10,4.0073474499812847e-14,3.415436592040804e-11,2.6256732986392016e-11,3.415436592040813e-11
4.235164736271502e-22,2.603153277909482e-14,-4.1359030627651384e-25,2.5975354592949834e-14,6.761657670127556e-15,1.9474124224391832e-14,1.4971054684072268e-14,1.6265262271595332e-09
3.3881317890172014e-21,4.513013284275397e-14,-2.0679515313825692e-24,1.6036356520974913e-11,6.2104504543583166e-09,1.808233412421008e-12,1.3901093054278199e-12,1.8082334124198707e-12
-2.6469779601696886e-22,2.5604305100009996e-13,-1.2924697071141057e-25,5.093529707437853e-10,6.650685821022407e-14,5.668336973226632e-11,4.357627681618712e-11,5.6683369732266424e-11
4.70197740328915e-38,4.078096162144866e-28,-2.2958874039497803e-41,4.069295295480625e-28,1.059280313072401e-28,9.028178334061352e-26,6.940561227908353e-26,9.028178334061358e-26
-1.9852334701272664e-23,2.603153277977637e-14,0.0,2.5975354592707496e-14,6.7616576697382e-15,9.942717419181367e-11,1.4971054684443853e-14,1.9474124224514616e-14
1.3234889800848443e-23,1.0994387777976194e-14,1.2924697071141057e-26,1.0970660985597373e-14,2.85577830055549e-15,8.224873854810171e-15,6.083947816118535e-11,8.224873854794823e-15
6.617444900424222e-24,1.3489464000039888e-11,-5.2506581851510546e-27,1.3460352628135866e-11,3.5038711891524063e-12,1.0091434103462836e-11,7.757956664218704e-12,1.0091434103462825e-11
4.235164736271502e-21,7.379571066993894e-14,-2.895132143935597e-24,2.622226551257694e-11,1.015517961040016e-08,2.9567799011713404e-12,2.273073391128933e-12,2.9567799011699963e-12
3.0814879110195774e-33,4.862117095134789e-21,3.76158192263132e-37,4.851624246864686e-21,1.2629287574271154e-21,3.637337574623259e-21,2.796263344511024e-21,3.637337574623255e-21
