Intercept,input1,input2,input3,input4,input5,input6,input7
6.938893903907228e-18,1.310931833196043e-06,1.6940658945086007e-21,2.3723367721794705e-05,6.821816344593359e-12,2.424154277289107e-06,1.1683811778622841e-06,2.424154277289108e-06
1.3877787807814457e-17,1.0648439458970206e-06,-1.1858461261560205e-20,3.923581189349098e-11,5.472444389215643e-12,3.2497588075342143e-10,1.5663017239071352e-10,5.901054739105354e-05
1.1102230246251565e-16,4.495719986353187e-07,-2.168404344971009e-19,6.317263096035545e-06,0.0005562316547749655,6.455550106677917e-07,3.111412218295161e-07,6.45555010667624e-07
4.235164736271502e-22,5.34944166872613e-11,3.101927297073854e-25,9.6806537609269e-10,2.7837380779680687e-16,9.89210237631912e-11,4.767743676323666e-11,9.892102376319109e-11
3.5264830524668625e-38,1.9226545685055923e-26,-7.174648137343063e-42,7.0843162794546225e-31,9.880903435214298e-32,3.5720928837250544e-26,1.7216586130761413e-26,3.5720928837250516e-26
4.336808689942018e-19,1.0648439458970255e-06,9.529120656610879e-22,3.9235811905111215e-11,5.472444388103912e-12,3.606870402035445e-06,1.5663017237586397e-10,3.2497588074310484e-10
7.589415207398531e-19,2.8195974667376224e-07,-4.235164736271502e-22,1.0389240252312346e-11,1.4490471016380645e-12,8.605027747261554e-11,1.3837402558297573e-06,8.605027747295964e-11
4.1359030627651384e-24,5.996560450465691e-12,-2.696129358819113e-27,2.2095248681322314e-16,3.0817514348570095e-17,1.8300686418278262e-15,8.820468958329645e-16,1.8300686418252688e-15
5.929230630780102e-21,6.225794766222419e-12,-4.549493369041652e-24,8.748316985828013e-11,7.702846564324518e-09,8.939820582516585e-12,4.308767886571794e-12,8.93982058251568e-12
6.2038545941477076e-24,5.951953622701042e-12,-2.071055699044614e-27,2.193088796828621e-16,3.0588271006934155e-17,1.8164552450519347e-15,8.75485582178211e-16,1.816455245048656e-15
