Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,3.9739925015002468e-16,1.6802106192483375e-25,7.040000316340348e-10,7.238049999232962e-17,3.2337236299645495e-10,2.7355010081747275e-10,3.233723629964546e-10
6.098637220230962e-20,1.2894113875902433e-15,3.308722450212111e-24,1.2833531380317172e-15,2.3484754142359487e-16,1.0878881670500183e-15,9.202762716695451e-16,9.999705189487145e-08
2.541098841762901e-21,8.480558014288743e-17,4.1359030627651384e-24,5.551858509981742e-11,9.797999111560699e-09,2.550169005159006e-11,2.157262240961326e-11,2.5501690051587477e-11
6.352747104407253e-22,6.324027580414877e-16,3.360421238496675e-25,1.120313039175309e-09,1.151829747184783e-16,5.145997989985678e-10,4.3531495886756626e-10,5.14599798998568e-10
3.76158192263132e-37,4.57720142812168e-31,2.7550648847397363e-40,4.555695707573666e-31,8.336707393591931e-32,3.724567777997432e-25,3.1507203699528223e-25,3.7245677779974304e-25
4.658681209898652e-21,1.289411391139248e-15,2.0679515313825692e-24,1.2833531636743162e-15,2.348475509361719e-16,6.111550772950127e-09,9.202762989148066e-16,1.0878881789924384e-15
-1.6940658945086007e-21,5.992421197496091e-16,1.2407709188295415e-24,5.964266137172671e-16,1.091432454305266e-16,5.055860553967555e-16,4.115392164177492e-09,5.055860562110115e-16
0.0,8.150516680326359e-12,4.8467614016778965e-27,8.112221946687303e-12,1.4844982019729311e-12,6.876665461661131e-12,5.817171612609517e-12,6.876665461661131e-12
1.0164395367051604e-20,1.328596606099323e-16,1.6543612251060553e-24,8.697753560307497e-11,1.5349919581566577e-08,3.995192151263657e-11,3.379649409851316e-11,3.995192151263316e-11
1.2037062152420224e-35,8.985549042122088e-24,5.142787784847508e-39,8.943330956979177e-24,1.6365872152580793e-24,7.581189901883501e-24,6.413149357477328e-24,7.581189901883503e-24
