Intercept,input1,input2,input3,input4,input5,input6,input7
-5.293955920339377e-22,5.821078664430313e-14,3.101927297073854e-25,4.2475721505297083e-10,9.083573241840777e-15,3.8320877339790324e-10,3.7142652636041997e-10,3.8320877339790375e-10
-1.1858461261560205e-20,2.451027152154018e-14,7.444625512977249e-24,2.4355914826166554e-14,3.740938275945375e-15,2.362332435498709e-14,2.2896994839248147e-14,1.7416321163631736e-08
8.470329472543003e-22,1.1678862527034203e-14,0.0,3.5953836125749994e-11,4.866089215872741e-09,3.2437397209730827e-11,3.1440067676307124e-11,3.243739720973251e-11
-2.117582368135751e-22,8.629361231305189e-14,2.5849394142282115e-25,6.296742675352757e-10,1.346579204488686e-14,5.680814713702379e-10,5.50615075249523e-10,5.68081471370239e-10
-3.76158192263132e-37,4.7502803129104634e-29,0.0,4.720364791417786e-29,7.250227898378809e-30,3.154216945677403e-25,3.057236485302611e-25,3.1542169456774057e-25
-3.1763735522036263e-22,2.451027152423988e-14,3.101927297073854e-25,2.4355914832435032e-14,3.740938275092345e-15,1.0644606931021945e-09,2.2896994841755538e-14,2.3623324359630288e-14
1.0587911840678754e-22,1.3051560618046992e-14,-4.1359030627651384e-25,1.2969366681187697e-14,1.9920253688922935e-15,1.257926700514299e-14,8.212772012276363e-10,1.2579267005627665e-14
-9.926167350636332e-24,7.959267295973289e-12,4.0389678347315804e-27,7.909142752512577e-12,1.2148020326530789e-12,7.6712472487601e-12,7.435384877006262e-12,7.671247248760105e-12
-8.470329472543003e-22,1.7066291034034298e-14,-8.271806125530277e-25,5.253924598608982e-11,7.110803348182849e-09,4.740068306452663e-11,4.5943288045467465e-11,4.7400683064528074e-11
-7.703719777548943e-34,1.6563534228770437e-21,8.46355932592047e-37,1.6459223170925586e-21,2.5280486633749446e-22,1.5964153691192403e-21,1.5473315235521969e-21,1.5964153691192416e-21
