Intercept,input1,input2,input3,input4,input5,input6,input7
-1.3552527156068805e-20,3.2270613249809766e-12,-2.6469779601696886e-23,3.0565853502141156e-08,7.878736092472766e-13,2.7447535782945372e-08,2.6566770938848452e-08,2.744753578294536e-08
-7.589415207398531e-19,2.303509629075159e-12,-6.352747104407253e-22,2.2937600944712623e-12,5.623923016159334e-13,2.2218059176072682e-12,2.1505103174624428e-12,1.820213613856467e-06
0.0,7.309386085638757e-13,-5.293955920339377e-23,2.024422418392572e-09,5.169632964468654e-07,1.8179279387693915e-09,1.7595923916287135e-09,1.8179279387696297e-09
-4.235164736271502e-22,8.172229809128839e-14,-6.203854594147708e-25,7.740515409452756e-10,1.995215940136342e-14,6.95083072568256e-10,6.727785298622623e-10,6.950830725682561e-10
-9.4039548065783e-37,8.561734722380694e-29,-7.346839692639297e-40,8.525497440632287e-29,2.0903119457505956e-29,7.282121301446693e-25,7.04844508062002e-25,7.282121301446693e-25
-2.710505431213761e-20,2.3035096289522612e-12,-3.970466940254533e-23,2.2937600945295785e-12,5.623923014008664e-13,1.112486262754362e-07,2.150510316840403e-12,2.221805917193678e-12
-1.3552527156068805e-20,1.2249046758299792e-12,-5.293955920339377e-23,1.2197203040545487e-12,2.990553853082956e-13,1.181458250786057e-12,8.571425291170822e-08,1.1814582507761308e-12
-1.3234889800848443e-23,8.148740569246965e-12,-1.1309109937248425e-26,8.11425127271019e-12,1.989481139828067e-12,7.859711019652025e-12,7.607500504084653e-12,7.859711019652028e-12
-6.776263578034403e-21,2.0130581407701912e-14,-4.963083675318166e-24,5.575406719622093e-11,1.4237545537044364e-08,5.0067058897977614e-11,4.8460455461031716e-11,5.0067058897971824e-11
-2.9582283945787943e-31,1.8487553407706366e-19,-9.62964972193618e-35,1.8409305400385537e-19,4.5136593211722276e-20,1.7831814132522188e-19,1.7259608484678395e-19,1.7831814132522203e-19
