Intercept,input1,input2,input3,input4,input5,input6,input7
-4.235164736271502e-21,7.100635470344919e-11,-1.6543612251060553e-24,1.8400152238923032e-09,2.6991234802717577e-12,1.72099304529807e-09,1.6854147887059118e-09,1.7209930452980699e-09
-1.6940658945086007e-21,1.071303281143861e-11,-4.963083675318166e-24,1.0360678816831233e-11,3.8726077464785143e-13,1.015071023372895e-11,9.94086361391526e-12,1.160001873527805e-08
-8.470329472543003e-22,7.80694137249001e-12,1.8611563782443123e-24,1.7678922289728326e-10,4.984317172304068e-09,1.6539747379394773e-10,1.6197819573328312e-10,1.6539747379394362e-10
-4.235164736271502e-21,1.1602364984401385e-10,8.271806125530277e-25,3.0065658621138473e-09,4.410339875475872e-12,2.8120848522019527e-09,2.7539503485769037e-09,2.8120848522019548e-09
-5.64237288394698e-37,1.3717331887004634e-26,-1.3775324423698682e-40,1.3266165838054656e-26,4.958618783516425e-28,3.3935635443004976e-25,3.3234080751248455e-25,3.393563544300501e-25
-7.940933880509066e-22,1.0713032811437331e-11,-2.1971985020939798e-25,1.0360678816824902e-11,3.8726077465246716e-13,7.184921433735007e-10,9.940863613910652e-12,1.015071023372879e-11
-1.0587911840678754e-22,5.763907057751249e-12,1.550963648536927e-25,5.574330892708263e-12,2.0835697523720455e-13,5.461362005249816e-12,5.575481840392805e-10,5.461362005249751e-12
-9.926167350636332e-24,7.933521020976281e-12,-3.2311742677852644e-27,7.672585777681151e-12,2.8678540898542046e-13,7.517093845839208e-12,7.361692233726191e-12,7.51709384583921e-12
-8.470329472543003e-22,1.2552490947733426e-11,1.2407709188295415e-24,2.842528224811185e-10,8.014098377431682e-09,2.6593645238483535e-10,2.604387222423368e-10,2.659364523848359e-10
-1.1832913578315177e-30,8.75112312378697e-19,-5.7777898331617076e-34,8.463296768329726e-19,3.163405526375277e-20,8.291780358817921e-19,8.120363577083773e-19,8.291780358817922e-19
