Intercept,input1,input2,input3,input4,input5,input6,input7
-8.131516293641283e-20,1.3238901867231234e-08,-6.617444900424221e-23,1.2182355048903278e-07,6.348491227068443e-16,5.0839217992911604e-08,2.99838094508266e-08,5.083921799291181e-08
-3.3881317890172014e-21,5.4870083251005414e-11,2.481541837659083e-24,2.5684256454193433e-15,2.63120067905737e-18,1.284285946506566e-15,7.5744251489053e-16,5.587912086126603e-09
-1.3552527156068805e-20,1.0689396952803175e-09,-4.239300639334267e-24,9.824352760418952e-09,9.935086259345175e-09,4.09988389136941e-09,2.4180178653903277e-09,4.09988389136943e-09
-1.0842021724855044e-19,2.124671676368894e-08,-7.279189390466644e-23,1.9551096445499686e-07,1.0188503616314814e-15,8.159033702458711e-08,4.8120117007209585e-08,8.159033702458739e-08
-1.88079096131566e-37,8.811875160300224e-26,1.3775324423698682e-40,4.1247697786851016e-30,4.225585411836775e-33,3.383882188217458e-25,1.995736416514213e-25,3.383882188217463e-25
1.852884572118782e-22,5.487008325100473e-11,-5.169878828456423e-26,2.568425641323022e-15,2.6312017711942726e-18,3.415193013228921e-10,7.574425150133147e-16,1.284285947695638e-15
-5.293955920339377e-23,1.7778716958576448e-11,-1.1632227364026952e-25,8.322078230773698e-16,8.525484316746455e-19,4.1612760539466273e-16,1.6033490838248596e-10,4.161276057355516e-16
2.0679515313825692e-25,2.8405936808533584e-12,3.2170117493462184e-28,1.3296596642269172e-16,1.3621584612737198e-19,6.648676895538501e-17,3.921237757129521e-17,6.648676895618291e-17
-1.6940658945086007e-20,1.6886123271703961e-09,-8.06501097239202e-24,1.5519606251841476e-08,1.5694532818927672e-08,6.476618381281282e-09,3.819761575741278e-09,6.476618381281315e-09
5.169878828456423e-26,3.4774425750599225e-13,1.889529868438317e-29,1.627763645988182e-17,1.667548532590856e-20,8.139281679106313e-18,4.800362408573777e-18,8.139281679226948e-18
