Intercept,input1,input2,input3,input4,input5,input6,input7
-5.421010862427522e-20,3.24173922269403e-16,-1.9852334701272664e-23,5.253113556551556e-08,9.095618996296387e-17,1.9955218864598193e-08,1.6503522251340295e-08,1.99552188645982e-08
-2.0816681711721685e-17,1.1971727124643729e-15,3.3881317890172014e-20,1.1917883402136952e-15,3.3589663270608677e-16,9.84114853613805e-16,8.139169236319726e-16,1.148303269620197e-05
-1.8431436932253575e-18,9.623249812194672e-17,1.879354351720479e-21,3.5494763669861734e-09,1.0928987047695408e-06,1.348354242270574e-09,1.1151265436377107e-09,1.348354242270905e-09
-6.352747104407253e-22,3.962638748215605e-18,-1.0339757656912846e-25,6.421303263095082e-10,1.1118307158031145e-18,2.4392869225377715e-10,2.0173582798895594e-10,2.439286922537773e-10
-4.70197740328915e-37,5.003876852137028e-33,9.183549615799121e-40,4.981232097271768e-33,1.4039794983202164e-33,3.0802440351983854e-25,2.547447678694173e-25,3.0802440351983923e-25
3.7947076036992655e-19,1.1971929707289454e-15,-5.293955920339377e-22,1.1917741970795818e-15,3.359068235712334e-16,7.018119472931785e-07,8.138953242918176e-16,9.841208754886644e-16
-2.710505431213761e-19,5.439523771599906e-16,4.235164736271502e-22,5.414911067154434e-16,1.5262136766904013e-16,4.471421548199835e-16,4.620263662955261e-07,4.471422342293223e-16
-1.9852334701272664e-23,8.150525313580015e-12,4.8467614016778965e-27,8.113639247259401e-12,2.2868609275028893e-12,6.6999281864336635e-12,5.5410273702060234e-12,6.699928186433673e-12
-2.202285662861181e-20,1.1960128775094489e-18,2.0472720160687435e-23,4.411426423048984e-11,1.3582967529461585e-08,1.675786768804712e-11,1.3859223702407515e-11,1.6757867688057976e-11
-1.6851887013388314e-34,5.697459452213434e-23,3.5264830524668625e-38,5.671674995490968e-23,1.5985837606798347e-23,4.68344894424736e-23,3.8733428277013755e-23,4.6834489442473617e-23
