Intercept,input1,input2,input3,input4,input5,input6,input7
5.082197683525802e-21,2.1630203541790854e-10,-2.68833699079734e-24,4.52282916023344e-09,7.862104680461402e-12,4.102345269369444e-09,3.977607702846349e-09,4.102345269369444e-09
1.8634724839594607e-20,2.5920444071063074e-11,-3.308722450212111e-24,2.511816758168736e-11,9.421513036391907e-13,2.4412206627857243e-11,2.366991921706056e-11,1.7242144352508745e-08
1.0164395367051604e-20,2.1789832758964064e-11,-7.031035206700735e-24,4.1751988924908125e-10,1.2501337170200448e-08,3.788234907739219e-10,3.673048307689356e-10,3.7882349077391843e-10
1.6940658945086007e-21,3.1441786396647343e-10,-1.2407709188295415e-24,6.57441008772007e-09,1.1428399899870601e-11,5.963192322051174e-09,5.781873088754123e-09,5.963192322051172e-09
5.64237288394698e-37,4.0663448923604826e-26,-1.3775324423698682e-40,3.940485439649067e-26,1.4780272015859016e-27,7.712156152654755e-25,7.477657219005487e-25,7.712156152654754e-25
-2.117582368135751e-22,2.5920444071061662e-11,1.809457589959748e-25,2.51181675816893e-11,9.421513036489683e-13,1.076713495760392e-09,2.3669919217061504e-11,2.4412206627863964e-11
-4.235164736271502e-22,1.380730839868526e-11,-5.169878828456423e-26,1.3379951564851514e-11,5.01865383634389e-13,1.3003900113719866e-11,8.247948672120357e-10,1.3003900113720024e-11
1.3234889800848443e-23,7.991152298559185e-12,-1.2116903504194741e-27,7.743814189900556e-12,2.904608630585926e-13,7.526169712692215e-12,7.297325957825777e-12,7.526169712692207e-12
1.3552527156068805e-20,3.123385326661951e-11,-4.1359030627651384e-24,5.98478891552647e-10,1.7919592827071415e-08,5.430109287972816e-10,5.26499919263452e-10,5.430109287972752e-10
3.1554436208840472e-30,1.8972195213841213e-18,-9.62964972193618e-34,1.838497741270637e-18,6.895976938046842e-20,1.7868256750336366e-18,1.7324947321535064e-18,1.7868256750336362e-18
