Intercept,input1,input2,input3,input4,input5,input6,input7
3.469446951953614e-18,1.4720868394629834e-12,-2.117582368135751e-21,7.564767566800588e-06,2.9207596037989953e-13,5.384889350431025e-07,4.0980552664640304e-07,5.384889350430981e-07
-1.3877787807814457e-17,3.263523029931592e-13,2.329340604949326e-21,2.2244311314793747e-13,6.475138902480658e-14,2.333191211433588e-13,1.775626036711065e-13,1.7240322212193912e-05
-2.7755575615628914e-17,8.728427598038431e-13,2.710505431213761e-20,1.1746174207510927e-06,0.0002985175949927554,8.361416610541268e-08,6.363277896019042e-08,8.36141661053932e-08
3.1763735522036263e-22,1.5139202419834514e-16,-2.0679515313825692e-25,7.779741269220628e-10,3.0037610527134633e-17,5.537915810340335e-11,4.214512792167814e-11,5.5379158103403165e-11
-2.350988701644575e-38,1.577913950915737e-31,-4.0178029569121155e-41,1.0755131346902405e-31,3.130730697402893e-32,5.772004607160087e-26,4.3926610816123515e-26,5.772004607160079e-26
6.505213034913027e-19,3.263522594177651e-13,-4.235164736271502e-22,2.2244314589105484e-13,6.47513782251365e-14,1.0536821520362905e-06,1.7756255441084667e-13,2.333191365123746e-13
-4.336808689942018e-19,1.3644716059515748e-13,1.4558378780933287e-22,9.300298836022928e-14,2.707240855558277e-14,9.755021611300601e-14,6.383170732100401e-07,9.755021591572344e-14
-6.617444900424222e-24,8.150520765926071e-12,-5.4526065768876336e-27,5.55543104922576e-12,1.6171405014993788e-12,5.827054687478528e-12,4.434555771899755e-12,5.827054687478517e-12
-7.623296525288703e-21,4.202124057488058e-17,3.308722450212111e-24,5.65495697871739e-11,1.4371523248775333e-08,4.02543418635296e-12,3.0634708893215868e-12,4.025434186347299e-12
0.0,5.026331576926685e-19,-3.611118645726067e-35,3.42596986230605e-19,9.972717818221308e-20,3.593477008069946e-19,2.734739085522671e-19,3.5934770080699403e-19
