Intercept,input1,input2,input3,input4,input5,input6,input7
1.6940658945086007e-21,4.8331706031551165e-15,-3.360421238496675e-24,5.48808055169479e-09,1.0794665709232639e-15,4.1392941270150986e-09,3.825699249603019e-09,4.139294127015098e-09
-1.3552527156068805e-19,5.6667926631058734e-15,-2.6469779601696886e-23,5.646007963231199e-15,1.2656522337224508e-15,5.244219905916948e-15,4.84691541774487e-15,4.500479286198278e-07
1.0164395367051604e-19,1.0540057303848932e-15,0.0,3.7833224272252263e-10,8.605653251400954e-08,2.8535097176423773e-10,2.6373264741616725e-10,2.8535097176422615e-10
-2.117582368135751e-22,7.654893442377763e-16,-6.462348535570529e-27,8.692155780767844e-10,1.709685474864982e-16,6.555914957064863e-10,6.059235744571373e-10,6.555914957064862e-10
7.52316384526264e-37,7.140973899655593e-31,-3.9030085867146265e-40,7.114782240959118e-31,1.5949038929776891e-31,6.1157765230466495e-25,5.652442406123798e-25,6.115776523046645e-25
-6.776263578034403e-21,5.666792534842162e-15,-1.3234889800848443e-23,5.646007884287149e-15,1.2656522271050059e-15,2.750571888449555e-08,4.846915286740141e-15,5.244219861662785e-15
5.082197683525802e-21,2.877389808551237e-15,2.481541837659083e-24,2.86683612096164e-15,6.426518723437136e-16,2.662822865261637e-15,2.0236405067550514e-08,2.662822869190745e-15
3.308722450212111e-24,8.150510915110433e-12,-2.0194839173657902e-27,8.120616474714944e-12,1.8203793713147113e-12,7.542727365498505e-12,6.9712867790229655e-12,7.542727365498503e-12
7.623296525288703e-21,1.7897713960932987e-16,0.0,6.424331679700445e-11,1.4612968329013864e-08,4.8454482085548015e-11,4.478354764517574e-11,4.845448208554429e-11
3.851859888774472e-34,3.013369154026753e-22,-1.1754943508222875e-38,3.0023167199520154e-22,6.730222317691416e-23,2.7886622344482425e-22,2.5773918669119014e-22,2.788662234448239e-22
