Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,7.296653073018602e-15,-8.271806125530277e-25,4.876185242578264e-09,1.785274602446652e-15,3.771771565380511e-09,3.5072423180891726e-09,3.771771565380507e-09
0.0,8.039554558161395e-15,5.293955920339377e-23,8.014024541297638e-15,1.9670405788487833e-15,7.485797561081794e-15,6.960789063701597e-15,4.141031740930758e-07
6.776263578034403e-21,1.7141052437534028e-15,-6.617444900424222e-24,3.2735150304203174e-10,8.380391644229907e-08,2.5320942195632444e-10,2.3545084441894035e-10,2.5320942195633105e-10
-6.352747104407253e-22,1.1556617036964155e-15,-1.550963648536927e-25,7.723021071781205e-10,2.827561440423747e-16,5.973823763507555e-10,5.554855892251451e-10,5.973823763507546e-10
-3.76158192263132e-37,1.2133596989446545e-30,0.0,1.209506605434926e-30,2.9687313231865537e-31,6.272075108237654e-25,5.832189691377986e-25,6.272075108237655e-25
-3.3881317890172014e-21,8.039554621690558e-15,-8.271806125530277e-24,8.014024545847132e-15,1.9670405763672415e-15,2.530887466775982e-08,6.960789062874416e-15,7.485797623740725e-15
-1.3552527156068805e-20,4.107042807248584e-15,-3.308722450212111e-24,4.0940006621561846e-15,1.0048715763116452e-15,3.82415355432951e-15,1.8733504763249277e-08,3.824153553295534e-15
-1.6543612251060553e-23,8.15050110663288e-12,3.2311742677852644e-27,8.124618725864643e-12,1.994185891354279e-12,7.58910223613846e-12,7.056848501429521e-12,7.589102236138445e-12
8.470329472543003e-22,2.9106640595805616e-16,-3.308722450212111e-24,5.558645005397345e-11,1.4230459223061036e-08,4.299663437001341e-11,3.998111046333393e-11,4.299663437000762e-11
-1.925929944387236e-34,4.84037843079768e-22,1.410593220986745e-37,4.825007533233318e-22,1.1842970449580105e-22,4.506977705092122e-22,4.1908855454211e-22,4.506977705092112e-22
