Intercept,input1,input2,input3,input4,input5,input6,input7
-6.352747104407253e-22,1.9921718589189686e-12,-8.271806125530277e-25,7.97747800299515e-10,2.7604352683521744e-13,6.148240246367699e-10,5.711090844486044e-10,6.148240246367699e-10
-6.776263578034403e-21,1.2951808376353674e-12,-3.308722450212111e-24,1.2856015128579153e-12,1.7524042170017723e-13,1.200575950512139e-12,1.1152131413648445e-12,4.2026561129978574e-08
-6.776263578034403e-21,3.7126301988065795e-13,3.9291079096268815e-24,6.820871705203886e-11,8.009953120052112e-09,5.2601063379528124e-11,4.886104632208187e-11,5.2601063379533423e-11
-2.117582368135751e-22,1.8073015266054492e-12,-6.203854594147708e-25,7.237180923285405e-10,2.504271331940408e-13,5.577693477322262e-10,5.181110834194231e-10,5.577693477322258e-10
0.0,8.669884079986954e-28,-2.5254761443447583e-40,8.605760497431472e-28,1.1730517454572942e-28,2.7007799403648e-25,2.5087503045284384e-25,2.7007799403648013e-25
-8.470329472543003e-22,1.2951808376315369e-12,0.0,1.28560151285745e-12,1.7524042170011906e-13,2.5696771158671064e-09,1.1152131413701372e-12,1.200575950507305e-12
-1.0587911840678754e-22,6.609604882454957e-13,-1.2149215246872594e-24,6.560719390969355e-13,8.942920657982423e-14,6.12681444448783e-13,1.8997647284169838e-09,6.126814444482806e-13
9.926167350636332e-24,7.956919950925394e-12,-1.2116903504194741e-27,7.898069543163776e-12,1.0765863477282725e-12,7.375716545229173e-12,6.851291677788386e-12,7.375716545229183e-12
-6.3527471044072525e-21,3.3577252386691956e-13,2.68833699079734e-24,6.168837683224684e-11,7.2442501169084276e-09,4.757272031751438e-11,4.41902262380178e-11,4.75727203175203e-11
4.930380657631324e-32,1.139314953071101e-19,-7.222237291452134e-35,1.1308884325115548e-19,1.5415147215303775e-20,1.0560950972764572e-19,9.810051005286404e-20,1.0560950972764583e-19
