Intercept,input1,input2,input3,input4,input5,input6,input7
-4.235164736271502e-22,1.542096735727532e-14,3.877409121342317e-26,4.199315672128538e-10,4.170064028887869e-15,3.805151169138817e-10,3.6929715966238124e-10,3.805151169138818e-10
3.3881317890172014e-21,6.638922494165637e-15,-5.686866711302065e-24,6.622121140920766e-15,1.7952655839348505e-15,6.428516516093901e-15,6.2389975742819585e-15,1.6677794133188423e-08
8.470329472543003e-22,4.161473383821649e-15,-8.271806125530277e-25,2.971092886209615e-11,8.695674037445523e-09,2.6922340622401327e-11,2.6128643728932923e-11,2.692234062240087e-11
-2.117582368135751e-22,2.4805053617025093e-14,-1.0339757656912846e-25,6.754715705489962e-10,6.707663625806488e-15,6.12069117226363e-10,5.940247219137769e-10,6.120691172263633e-10
0.0,2.977792417108403e-29,-3.9030085867146265e-40,2.9702564156500217e-29,8.052403429841619e-30,7.347755841125802e-25,7.131136823230474e-25,7.347755841125801e-25
5.293955920339377e-22,6.6389224907246505e-15,-2.0679515313825692e-25,6.6221211412309585e-15,1.7952655777180712e-15,1.0193077716207223e-09,6.238997572058911e-15,6.428516516727211e-15
-1.5881867761018131e-22,3.5397981669031305e-15,-1.0339757656912846e-25,3.53083987824419e-15,9.57215242402245e-16,3.4276120880825853e-15,7.874705828835899e-10,3.427612088126206e-15
-1.3234889800848443e-23,8.150102104587453e-12,-1.2116903504194741e-27,8.129476361512036e-12,2.2039115204915673e-12,7.891802632702427e-12,7.659144584084168e-12,7.891802632702442e-12
-1.2705494208814505e-20,6.588620116407864e-15,0.0,4.703959522285227e-11,1.3767357756125743e-08,4.262458475154313e-11,4.136797036659837e-11,4.262458475154792e-11
-9.62964972193618e-34,3.8347250618510796e-22,-7.052966104933725e-38,3.8250203915444244e-22,1.0369679585945664e-22,3.713191926978709e-22,3.6037234027284906e-22,3.713191926978714e-22
