Intercept,input1,input2,input3,input4,input5,input6,input7
-1.5881867761018131e-22,8.554322906340104e-17,5.492996255234949e-26,2.2192998160151283e-10,2.0253637909816415e-17,4.6573797315490946e-11,3.6762956125156425e-11,4.657379731549096e-11
-5.421010862427522e-20,8.392450133196783e-16,3.639594695233322e-23,8.364401582533324e-16,1.9647367141659297e-16,6.508505205479182e-16,5.137478436832323e-16,1.465198447427747e-07
4.235164736271502e-22,2.5349383909728783e-17,-1.4475660719677984e-24,1.7092008973315094e-11,3.940598614810396e-09,3.5869066182378996e-12,2.831319287492377e-12,3.586906618236397e-12
-2.6469779601696886e-22,1.4250554939190483e-16,-4.52364397489937e-26,3.6971077983997903e-10,3.37403185253314e-17,7.758679021808169e-11,6.124301493729264e-11,7.758679021808151e-11
-3.5264830524668625e-38,1.3404218987976453e-31,-5.739718509874451e-42,1.335941919905125e-31,3.1380303019026893e-32,7.336080958002191e-26,5.79072435435548e-26,7.336080958002183e-26
-8.470329472543003e-21,8.392450409044682e-16,3.308722450212111e-24,8.364401044090444e-16,1.9647369230290344e-16,8.95489781820563e-09,5.137478187644163e-16,6.50850455872734e-16
-8.470329472543003e-22,3.63943873263507e-16,-1.4475660719677984e-24,3.627274959158864e-16,8.520204328223123e-17,2.8224537880663276e-16,5.626719334882277e-09,2.82245377346142e-16
-1.3234889800848443e-23,7.959384226599617e-12,0.0,7.932782244520175e-12,1.8633527927251013e-12,6.172653515162115e-12,4.872374670600876e-12,6.172653515162115e-12
2.541098841762901e-21,4.1540213308297696e-17,-1.9645539548134407e-24,2.800879437102951e-11,6.457486447222439e-09,5.877888904406394e-12,4.63970267309921e-12,5.8778889044070465e-12
-4.513898307157584e-36,2.6077077000747335e-24,-1.1020259538958945e-39,2.5989921774248787e-24,6.104843398948312e-25,2.0223268085976404e-24,1.596320592705335e-24,2.022326808597642e-24
