Intercept,input1,input2,input3,input4,input5,input6,input7
-1.3552527156068805e-20,1.6835095574581124e-11,3.474158572722716e-23,3.615650977391774e-08,4.692184226004025e-12,2.992545726282562e-08,2.8312105968351868e-08,2.992545726282565e-08
2.168404344971009e-19,9.112094910807573e-12,-4.235164736271502e-22,8.97104525446663e-12,2.539672426103626e-12,8.526468305522544e-12,8.066786485851302e-12,2.394303199304501e-06
9.486769009248164e-20,7.175043988994523e-12,5.293955920339377e-23,3.238458722442963e-09,1.8616468427158597e-07,2.681042461600895e-09,2.5365012006946907e-09,2.6810424616009505e-09
-5.293955920339377e-23,1.2821438435455065e-13,2.0356397887047165e-25,2.753643197650093e-10,3.5735200263659845e-14,2.2790925436003293e-10,2.1562213415615627e-10,2.2790925436003311e-10
2.938735877055719e-39,9.086935338193157e-30,1.1479437019748901e-41,8.946275136411202e-30,2.532660089018076e-30,1.6152607741893546e-26,1.5281782932747398e-26,1.6152607741893548e-26
8.131516293641283e-20,9.11209491155015e-12,1.5881867761018131e-22,8.971045255075435e-12,2.5396724253492374e-12,4.217124202657704e-07,8.066786485517121e-12,8.526468306137966e-12
1.6263032587282567e-19,4.73616107164303e-12,-7.940933880509066e-23,4.6628481948354165e-12,1.320036478020383e-12,4.4317720196727005e-12,5.532398000748428e-07,4.431772019702479e-12
6.617444900424222e-24,9.743201995111731e-12,6.26040014383395e-27,9.59238318680266e-12,2.7155710824315422e-12,9.11701467319912e-12,8.625495118608589e-12,9.117014673199129e-12
2.117582368135751e-22,4.308170495390728e-14,-1.550963648536927e-25,1.9444943250486087e-11,1.1178038786842813e-09,1.6098003089150876e-11,1.5230122144367536e-11,1.6098003089150805e-11
6.310887241768095e-30,5.466330757244589e-18,1.4444474582904269e-33,5.38171530012439e-18,1.5235453128065119e-18,5.1150143194570084e-18,4.8392519509468e-18,5.115014319457014e-18
