Intercept,input1,input2,input3,input4,input5,input6,input7
-2.6469779601696886e-23,1.7816308731965295e-13,4.52364397489937e-26,1.2393067532127347e-10,5.263086647312503e-14,1.3674943130942334e-11,1.0509020708003478e-11,1.3674943130942327e-11
-1.9058241313221758e-21,3.2817767699757505e-14,2.0679515313825692e-25,3.2517131498896654e-14,9.694643126001469e-15,2.4512175625589172e-14,1.8837296709618912e-14,1.2467126844085987e-09
-3.705769144237564e-22,6.315231792033126e-14,-2.8434333556510326e-25,7.067795634091359e-12,5.477400579298049e-10,8.137201070187636e-13,6.253336027285132e-13,8.137201070187248e-13
2.6469779601696886e-23,2.9196535058687663e-13,2.5849394142282115e-26,2.0309180545197606e-10,8.624900709057382e-14,2.2409858436714588e-11,1.7221692559874743e-11,2.2409858436714572e-11
-7.346839692639297e-40,2.808323925195253e-29,1.0761972206014595e-42,2.782597500325428e-29,8.29602381411252e-30,2.1555346030461205e-27,1.6565010591505712e-27,2.1555346030461226e-27
9.26442286059391e-23,3.281776769897016e-14,-2.5849394142282115e-26,3.2517131498310196e-14,9.694643125502252e-15,2.1960201971738663e-10,1.8837296709515514e-14,2.451217562527898e-14
1.3234889800848443e-23,1.3855512822180177e-14,-1.0339757656912846e-25,1.3728585580521911e-14,4.093034400254929e-15,1.0348929482012351e-14,2.339970940653185e-10,1.0348929482144021e-14
6.617444900424222e-24,1.3985228962060063e-11,6.462348535570529e-27,1.3857113419921182e-11,4.131353633181839e-12,1.044581677895435e-11,8.02747797858501e-12,1.044581677895438e-11
-6.88214269644119e-22,1.0194490250437241e-13,-4.652890945610781e-25,1.1409331605973509e-11,8.842004322610181e-10,1.313564089296017e-12,1.0094573764231959e-12,1.3135640892960105e-12
-9.244463733058732e-33,6.033192437747075e-21,4.513898307157584e-36,5.977923716577977e-21,1.78225551866117e-21,4.506298964989968e-21,3.463033716928595e-21,4.506298964989972e-21
