Intercept,input1,input2,input3,input4,input5,input6,input7
1.6940658945086007e-20,5.155332015754542e-12,-5.37667398159468e-24,1.2151995247270323e-08,1.3233969617068025e-12,1.088627761009146e-08,1.0530269114042402e-08,1.088627761009146e-08
1.0842021724855044e-19,5.294324855742756e-12,2.117582368135751e-22,5.212729575477868e-12,1.3590770499977812e-12,5.049489436175601e-12,4.8843585063062755e-12,1.4205066411287035e-06
2.371692252312041e-20,1.4903272769798447e-12,-2.0679515313825692e-25,8.119925703787548e-10,4.178804566559897e-08,7.274999220668157e-10,7.037088556980258e-10,7.274999220668165e-10
6.352747104407253e-22,1.305329308827041e-13,-1.1632227364026952e-25,3.076883410906578e-10,3.3508391623405894e-14,2.756403891166613e-10,2.66626259228146e-10,2.7564038911666134e-10
3.5264830524668625e-38,8.27903489930714e-30,-8.609577764811676e-42,8.151439749477858e-30,2.1252655693428046e-30,1.7482457382387093e-26,1.691073731581669e-26,1.7482457382387096e-26
2.710505431213761e-19,5.294324855656165e-12,-1.0587911840678754e-22,5.212729575504338e-12,1.3590770501648717e-12,2.5019608033284697e-07,4.884358506531269e-12,5.049489435990312e-12
1.8973538018496328e-19,2.8135037619459843e-12,0.0,2.7701424957269356e-12,7.22239095108689e-13,2.68339361689049e-12,3.355879004980078e-07,2.6833936169566646e-12
1.6543612251060553e-23,9.743533065699785e-12,3.2311742677852644e-27,9.593367306456834e-12,2.501208848621937e-12,9.292944544534027e-12,8.989042023428008e-12,9.29294454453404e-12
4.235164736271502e-22,4.103486082486782e-14,1.2278462217584005e-25,2.2357506724141017e-11,1.1505973650984824e-09,2.0031075397443826e-11,1.9376009149649757e-11,2.003107539744374e-11
6.902532920683853e-31,2.2216662204112207e-19,-1.2037062152420224e-34,2.1874262591443046e-19,5.703117310433137e-20,2.118925531789446e-19,2.049631369098518e-19,2.118925531789448e-19
