Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,4.2838480245810935e-11,2.0679515313825692e-25,7.964453332245861e-10,1.6235352412448428e-12,7.442240920392425e-10,7.28511918212541e-10,7.442240920392433e-10
-8.470329472543003e-22,1.5802971670086822e-11,-1.6543612251060553e-24,1.3482869322218963e-11,5.919351135387401e-13,1.3286613379132537e-11,1.3006104348030674e-11,9.075211261158116e-09
1.0587911840678754e-22,5.583568052319184e-12,3.101927297073854e-25,7.808544019064065e-11,4.813012255347196e-10,7.30286558605368e-11,7.148686361343685e-11,7.302865586053697e-11
-1.6940658945086007e-21,6.994029095752515e-11,7.237830359838992e-25,1.3003173319375078e-09,2.650666561952925e-12,1.2150582662164954e-09,1.1894057686790225e-09,1.215058266216497e-09
-5.877471754111438e-39,5.611985807818422e-28,3.946056475538685e-42,4.788065995726157e-28,2.1020929010586322e-29,9.804941491240065e-27,9.59793805407791e-27,9.804941491240068e-27
-6.352747104407253e-22,1.5802971670086932e-11,1.2407709188295415e-24,1.348286932222036e-11,5.919351135394122e-13,1.6093511883133723e-09,1.3006104348032025e-11,1.3286613379134191e-11
-1.0587911840678754e-21,8.49862265934005e-12,3.877409121342317e-25,7.250903255849437e-12,3.1833463185295485e-13,7.145359485998439e-12,2.1734737257653256e-09,7.145359485998064e-12
6.617444900424222e-24,9.356707960475136e-12,-1.6155871338926322e-27,7.983009357414488e-12,3.5047610693513043e-13,7.866809089306924e-12,7.70072380236871e-12,7.866809089306929e-12
-1.0587911840678754e-22,8.970131948803838e-12,6.203854594147708e-25,1.254460759190611e-10,7.732216137984017e-10,1.1732223427288766e-10,1.1484530916612133e-10,1.1732223427288781e-10
-7.888609052210118e-31,1.2166082253608273e-18,3.851859888774472e-34,1.0379927308183008e-18,4.5570740936972446e-20,1.0228837627318768e-18,1.0012884829546326e-18,1.0228837627318795e-18
