Intercept,input1,input2,input3,input4,input5,input6,input7
1.1858461261560205e-20,1.1827092096681826e-09,-1.4475660719677984e-24,9.873562952582337e-09,3.726076355897437e-17,4.064513852031771e-09,2.3877487493176618e-09,4.064513852031768e-09
4.235164736271502e-22,1.150230496937946e-10,-4.1359030627651384e-25,6.255828265406569e-16,3.6237562027556744e-18,6.314922619638968e-16,3.709779117323874e-16,4.317391587494327e-09
8.470329472543003e-22,1.0563929406073172e-10,-3.618915179919496e-25,8.662715739943675e-10,8.675879660718244e-10,3.566061095819792e-10,2.0949265352552973e-10,3.5660610958197933e-10
3.3881317890172014e-21,1.896512781696828e-09,6.617444900424222e-24,1.583258013667972e-08,5.974884900136012e-17,6.5175804912559105e-09,3.828832975632301e-09,6.517580491255908e-09
8.816207631167156e-39,2.3366495605669096e-27,2.8698592549372254e-42,1.2708477505167565e-32,7.361517731291636e-35,8.030160269854245e-27,4.7174166060671995e-27,8.030160269854245e-27
4.235164736271502e-22,1.1502304969379467e-10,0.0,6.255828277814278e-16,3.6237533334729246e-18,7.60416881775834e-10,3.7097791157729104e-16,6.314922631658936e-16
5.293955920339377e-23,3.712288719264102e-11,1.0339757656912846e-25,2.0190249537472227e-16,1.1695413106080463e-18,2.038097243559926e-16,6.194448188030631e-10,2.0380972447231487e-16
4.1359030627651384e-25,4.282746342590611e-12,1.8093572567133652e-28,2.3292831966991308e-17,1.3492614748729796e-19,2.3512862750436123e-17,1.381292097127499e-17,2.3512862749397353e-17
2.117582368135751e-21,1.667377371206817e-10,-6.203854594147708e-25,1.367295789545449e-09,1.3693735413717031e-09,5.628558604426678e-10,3.3065661128114454e-10,5.628558604426677e-10
-2.0679515313825692e-25,7.989595136852185e-13,-4.1711790735538754e-29,4.345349505296402e-18,2.5170888296301435e-20,4.3863969251755454e-18,2.5768429273884265e-18,4.386396924993145e-18
