Intercept,input1,input2,input3,input4,input5,input6,input7
-1.734723475976807e-18,1.6396203578601525e-08,-2.964615315390051e-21,1.0920844116193873e-05,3.68786092001158e-10,4.6161821442068723e-07,3.4189221240301974e-07,4.616182144206918e-07
6.938893903907228e-18,1.6052922745741015e-08,-1.6940658945086007e-21,1.2521297474489595e-09,3.610649633692495e-10,1.074770489568101e-08,7.960163811236894e-09,1.4724386975638765e-05
2.0816681711721685e-17,1.1580678835113926e-08,1.0164395367051604e-20,2.614004609509785e-06,9.177450424552194e-05,1.1559381261462341e-07,8.561322560567396e-08,1.1559381261458022e-07
1.5881867761018131e-22,6.779295177313005e-13,-1.550963648536927e-25,4.5154126986889326e-10,1.5248101568099045e-14,1.9086406922066283e-11,1.4136127400429206e-11,1.908640692206629e-11
9.183549615799121e-40,2.9290526456292246e-29,-1.793662034335766e-43,2.2846642991672777e-30,6.588073106442441e-31,8.246445866189536e-28,6.107635126987921e-28,8.246445866189538e-28
1.0842021724855044e-18,1.6052922745741372e-08,0.0,1.2521297474526917e-09,3.610649633726641e-10,2.60224115923047e-06,7.960163811238429e-09,1.0747704895684663e-08
-6.505213034913027e-19,6.531865548315685e-09,-2.117582368135751e-22,5.094862343106057e-10,1.4691578800464123e-10,4.373195114902959e-09,2.6647453961023174e-06,4.373195114903647e-09
8.271806125530277e-24,9.694639664583586e-12,-6.462348535570529e-27,7.561829647554992e-13,2.1805342060423573e-13,6.490726195800606e-12,4.8072815800160525e-12,6.490726195800608e-12
-1.0587911840678754e-22,1.6328100079598815e-13,2.5849394142282115e-25,3.685598182995807e-11,1.2939684377835508e-09,1.6298071709134122e-12,1.2070979048194353e-12,1.6298071709129082e-12
1.9387045606711586e-26,1.8786245536303087e-14,-1.1044052673094165e-29,1.4653292270534969e-15,4.225433065312265e-16,1.2577711007525337e-14,9.315536755249548e-15,1.2577711007525331e-14
