Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,3.6595434798964046e-16,-4.963083675318166e-24,2.0780965025143493e-08,1.082616119835383e-16,8.29539575199233e-09,6.898096951663885e-09,8.29539575199233e-09
0.0,1.5405440415592534e-15,-1.6940658945086007e-21,1.5205495011976627e-15,4.557456537537027e-16,1.2692420255273635e-15,1.0554461450800498e-15,8.51100459036847e-06
-1.3552527156068805e-20,1.287148763698391e-16,3.308722450212111e-24,1.4085344200855232e-09,8.794208335217185e-08,5.622622125135068e-10,4.675532512410719e-10,5.622622125135275e-10
-5.293955920339377e-23,4.472424706827663e-18,-1.0339757656912846e-25,2.539696597450464e-10,1.3230938203965912e-18,1.0138022146877882e-10,8.430346394321606e-11,1.0138022146877872e-10
-7.346839692639297e-39,3.4351873227506233e-34,2.8698592549372254e-42,3.390598407670344e-34,1.0162441747235086e-34,7.786828825134392e-27,6.475194407558836e-27,7.786828825134383e-27
-2.168404344971009e-19,1.5405422915276049e-15,2.117582368135751e-22,1.5205459542471961e-15,4.557438802784694e-16,1.4990317687749903e-06,1.055446727415201e-15,1.2692409137966202e-15
-8.673617379884035e-19,7.037892671050749e-16,3.1763735522036263e-22,6.946536192499381e-16,2.0820460272759827e-16,5.798470978338904e-16,1.7285189852209648e-06,5.798467537267556e-16
-9.926167350636332e-24,9.746251457174213e-12,-8.077935669463161e-27,9.619744689739889e-12,2.8832697014475826e-12,8.029864550994343e-12,6.677292541249112e-12,8.029864550994334e-12
7.411538288475128e-22,1.5991409624300902e-18,-1.2924697071141057e-25,1.749949216580191e-11,1.0925837357756584e-09,6.9854900545557546e-12,5.808835297536585e-12,6.985490054555832e-12
-9.62964972193618e-35,6.813785097367272e-23,3.5264830524668625e-38,6.725341870712616e-23,2.0157473065147183e-23,5.61382718800757e-23,4.668219018177906e-23,5.613827188007559e-23
