Intercept,input1,input2,input3,input4,input5,input6,input7
2.117582368135751e-21,1.017751419370513e-10,1.6543612251060553e-24,1.9331571950354356e-09,3.2391513690316e-12,1.7498674152701262e-09,1.695580511700944e-09,1.749867415270126e-09
7.623296525288703e-21,3.857284028151464e-11,2.0679515313825692e-24,3.2240775523754865e-11,1.2276403257829515e-12,3.1668311890000967e-11,3.068585197402346e-11,1.3483997527277063e-08
-4.235164736271502e-22,1.1929304574119062e-11,8.401053096241687e-26,1.84816745417902e-10,1.0333649625617287e-09,1.6744175537633384e-10,1.6224713643077983e-10,1.6744175537633384e-10
3.3881317890172014e-21,1.4780557933110646e-10,2.895132143935597e-24,2.8074774813582523e-09,4.704141262088222e-12,2.5412901632365178e-09,2.462450604976823e-09,2.541290163236516e-09
1.1754943508222875e-38,1.0742564772700257e-27,1.7219155529623352e-41,8.979080017398635e-28,3.418987458837303e-29,1.8470191929384396e-26,1.789718307201334e-26,1.8470191929384385e-26
-2.117582368135751e-22,3.857284028152211e-11,1.0339757656912846e-24,3.2240775523764985e-11,1.227640325794894e-12,2.401008926115313e-09,3.068585197402274e-11,3.1668311889995894e-11
1.6940658945086007e-21,2.053391407526762e-11,-1.2407709188295415e-24,1.7163094796574682e-11,6.53523587612244e-13,1.6858348789250333e-11,3.199887025572786e-09,1.6858348789249144e-11
6.617444900424222e-24,9.446707716360303e-12,4.8467614016778965e-27,7.895949084871667e-12,3.006560899835963e-13,7.755749488809122e-12,7.515139474055111e-12,7.755749488809118e-12
2.117582368135751e-22,1.7083692019666538e-11,-1.550963648536927e-25,2.646719546122175e-10,1.4798590022270866e-09,2.397896174339973e-10,2.323505190629232e-10,2.397896174339966e-10
1.5777218104420236e-30,2.5600532099595225e-18,7.703719777548943e-34,2.139798372865383e-18,8.147765458259937e-20,2.101804350322128e-18,2.036599153007445e-18,2.101804350322128e-18
